category,SYMBOL,Quarter,Change
0,AIROLAM,Jun 2022 - Sep 2022,0.8145400593471808
0,AJANTPHARM,Sep 2021 - Dec 2021,-0.2251175682122815
0,AJANTPHARM,Sep 2018 - Dec 2018,-0.1507094641135141
0,AJMERA,Sep 2019 - Dec 2019,-0.1793837123991197
0,AJMERA,Mar 2019 - Jun 2019,-0.2933844678811121
0,AJRINFRA,Dec 2021 - Mar 2022,0.3076923076923076
0,AKASH,Sep 2021 - Dec 2021,-0.748788138009695
0,AKASH,Sep 2019 - Dec 2019,0.6525353283458023
0,AKG,Mar 2021 - Jun 2021,-0.2046678635547577
0,AKG,Mar 2020 - Jun 2020,0.3799999999999999
0,AKSHOPTFBR,Jun 2022 - Sep 2022,-0.1179039301310043
0,AKSHOPTFBR,Jun 2021 - Sep 2021,-0.2125603864734299
0,AKSHOPTFBR,Sep 2019 - Dec 2019,0.4117647058823529
0,AKSHOPTFBR,Jun 2019 - Sep 2019,-0.3636363636363637
0,AKSHOPTFBR,Dec 2018 - Mar 2019,-0.2415458937198067
0,AKZOINDIA,Jun 2022 - Sep 2022,0.1665355569540591
0,AKZOINDIA,Dec 2021 - Mar 2022,-0.0411806712687456
0,AKZOINDIA,Mar 2020 - Jun 2020,0.1641955708634932
0,AKZOINDIA,Dec 2019 - Mar 2020,0.2194311863405993
0,AKZOINDIA,Jun 2019 - Sep 2019,0.2633125124782522
0,AKZOINDIA,Jun 2018 - Sep 2018,-0.1898483492037654
0,ALANKIT,Jun 2022 - Sep 2022,-0.0570175438596491
0,ALANKIT,Dec 2021 - Mar 2022,-0.2732732732732732
0,ALCHEM,Jun 2018 - Sep 2018,-0.4434782608695652
0,ALEMBICLTD,Sep 2019 - Dec 2019,-0.474370112945265
0,ALEMBICLTD,Sep 2018 - Dec 2018,0.0707434052757792
0,APLLTD,Mar 2022 - Jun 2022,-0.1100305110602594
0,APLLTD,Sep 2019 - Dec 2019,-0.2453405625211793
0,APLLTD,Sep 2018 - Dec 2018,-0.1174178244662827
0,ALICON,Mar 2020 - Jun 2020,0.4149844720496893
0,ALICON,Mar 2019 - Jun 2019,-0.309305912596401
0,ALICON,Sep 2018 - Dec 2018,-0.1383617963314358
0,ALICON,Mar 2018 - Jun 2018,0.2069492821340584
0,ALKEM,Dec 2021 - Mar 2022,-0.0974815025611838
0,ALKEM,Sep 2021 - Dec 2021,-0.0751788631626386
0,ALKEM,Dec 2019 - Mar 2020,-0.1297302697302697
0,ALKEM,Dec 2018 - Mar 2019,-0.11533410380332
