Category,Total Count,Decrease Count,Increase Count,Decrease Percentage,Increase Percentage
0,30,14,16,46.67%,53.33%
1,1,0,1,0.0%,100.0%
2,1,0,1,0.0%,100.0%
3,6,3,3,50.0%,50.0%
4,19,9,10,47.37%,52.63%
5,1,0,0,0.0%,0.0%
6,3,2,1,66.67%,33.33%
7,3,1,2,33.33%,66.67%
8,2,0,2,0.0%,100.0%
9,2,1,1,50.0%,50.0%
10,1,0,0,0.0%,0.0%
11,7,5,2,71.43%,28.57%
12,6,3,3,50.0%,50.0%
13,1,0,0,0.0%,0.0%
14,10,7,3,70.0%,30.0%
15,23,13,10,56.52%,43.48%
