Category,Total Count,Decrease Percentage,Increase Percentage
0,25,56.0%,40.0%
1,1,0.0%,0.0%
2,1,0.0%,0.0%
3,6,33.33%,50.0%
4,26,42.31%,53.85%
5,1,0.0%,0.0%
6,8,62.5%,25.0%
7,10,10.0%,80.0%
8,6,33.33%,50.0%
9,4,25.0%,50.0%
10,1,0.0%,0.0%
11,16,31.25%,62.5%
12,16,56.25%,37.5%
13,1,0.0%,0.0%
14,31,58.06%,38.71%
15,69,49.28%,49.28%
