Category,Total Count,Decrease Count,Increase Count,Decrease Percentage,Increase Percentage
0,42,29,13,69.05%,30.95%
1,20,12,8,60.0%,40.0%
2,1,0,0,0.0%,0.0%
3,7,3,4,42.86%,57.14%
4,31,16,15,51.61%,48.39%
5,1,0,0,0.0%,0.0%
6,10,5,5,50.0%,50.0%
7,14,10,4,71.43%,28.57%
8,10,3,7,30.0%,70.0%
9,7,4,3,57.14%,42.86%
10,1,0,0,0.0%,0.0%
11,30,15,15,50.0%,50.0%
12,12,10,2,83.33%,16.67%
13,1,0,0,0.0%,0.0%
14,30,11,19,36.67%,63.33%
15,82,37,45,45.12%,54.88%
