symbol,companyname,companycode,Revenue Sep 2022,EBITDA Sep 2022,Profit Sep 2022,Margin Sep 2022,Revenue Jun 2022,EBITDA Jun 2022,Profit Jun 2022,Margin Jun 2022,Revenue Mar 2022,EBITDA Mar 2022,Profit Mar 2022,Margin Mar 2022,Revenue Dec 2021,EBITDA Dec 2021,Profit Dec 2021,Margin Dec 2021,Revenue Sep 2021,EBITDA Sep 2021,Profit Sep 2021,Margin Sep 2021,Revenue Jun 2021,EBITDA Jun 2021,Profit Jun 2021,Margin Jun 2021,Revenue Mar 2021,EBITDA Mar 2021,Profit Mar 2021,Margin Mar 2021,Revenue Dec 2020,EBITDA Dec 2020,Profit Dec 2020,Margin Dec 2020,Revenue Sep 2020,EBITDA Sep 2020,Profit Sep 2020,Margin Sep 2020,Revenue Jun 2020,EBITDA Jun 2020,Profit Jun 2020,Margin Jun 2020,Revenue Mar 2020,EBITDA Mar 2020,Profit Mar 2020,Margin Mar 2020,Revenue Dec 2019,EBITDA Dec 2019,Profit Dec 2019,Margin Dec 2019,Revenue Sep 2019,EBITDA Sep 2019,Profit Sep 2019,Margin Sep 2019,Revenue Jun 2019,EBITDA Jun 2019,Profit Jun 2019,Margin Jun 2019,Revenue Mar 2019,EBITDA Mar 2019,Profit Mar 2019,Margin Mar 2019,Revenue Dec 2018,EBITDA Dec 2018,Profit Dec 2018,Margin Dec 2018,Revenue Sep 2018,EBITDA Sep 2018,Profit Sep 2018,Margin Sep 2018,Revenue Jun 2018,EBITDA Jun 2018,Profit Jun 2018,Margin Jun 2018,Revenue Sep 2015,EBITDA Sep 2015,Profit Sep 2015,Margin Sep 2015,Revenue Jun 2015,EBITDA Jun 2015,Profit Jun 2015,Margin Jun 2015,Revenue Mar 2018,EBITDA Mar 2018,Profit Mar 2018,Margin Mar 2018,Revenue Dec 2017,EBITDA Dec 2017,Profit Dec 2017,Margin Dec 2017,Revenue Sep 2017,EBITDA Sep 2017,Profit Sep 2017,Margin Sep 2017,Revenue Jun 2017,EBITDA Jun 2017,Profit Jun 2017,Margin Jun 2017,Revenue Mar 2017,EBITDA Mar 2017,Profit Mar 2017,Margin Mar 2017,Revenue Dec 2016,EBITDA Dec 2016,Profit Dec 2016,Margin Dec 2016,Revenue Sep 2016,EBITDA Sep 2016,Profit Sep 2016,Margin Sep 2016,Revenue Jun 2016,EBITDA Jun 2016,Profit Jun 2016,Margin Jun 2016,Revenue Mar 2016,EBITDA Mar 2016,Profit Mar 2016,Margin Mar 2016,Revenue Dec 2015,EBITDA Dec 2015,Profit Dec 2015,Margin Dec 2015,Revenue Mar 2015,EBITDA Mar 2015,Profit Mar 2015,Margin Mar 2015,Revenue Dec 2014,EBITDA Dec 2014,Profit Dec 2014,Margin Dec 2014,Revenue Sep 2014,EBITDA Sep 2014,Profit Sep 2014,Margin Sep 2014,Revenue Jun 2014,EBITDA Jun 2014,Profit Jun 2014,Margin Jun 2014,Revenue Mar 2014,EBITDA Mar 2014,Profit Mar 2014,Margin Mar 2014,Revenue Dec 2013,EBITDA Dec 2013,Profit Dec 2013,Margin Dec 2013,Revenue Sep 2013,EBITDA Sep 2013,Profit Sep 2013,Margin Sep 2013,Revenue Jun 2013,EBITDA Jun 2013,Profit Jun 2013,Margin Jun 2013,Revenue Mar 2013,EBITDA Mar 2013,Profit Mar 2013,Margin Mar 2013,Revenue Dec 2012,EBITDA Dec 2012,Profit Dec 2012,Margin Dec 2012,Revenue Sep 2012,EBITDA Sep 2012,Profit Sep 2012,Margin Sep 2012,Revenue Jun 2012,EBITDA Jun 2012,Profit Jun 2012,Margin Jun 2012,Revenue Dec 2011,EBITDA Dec 2011,Profit Dec 2011,Margin Dec 2011,Revenue Mar 2012,EBITDA Mar 2012,Profit Mar 2012,Margin Mar 2012,Revenue Sep 2011,EBITDA Sep 2011,Profit Sep 2011,Margin Sep 2011,Revenue Jun 2011,EBITDA Jun 2011,Profit Jun 2011,Margin Jun 2011,Revenue Mar 2011,EBITDA Mar 2011,Profit Mar 2011,Margin Mar 2011,Revenue Dec 2010,EBITDA Dec 2010,Profit Dec 2010,Margin Dec 2010,Revenue Sep 2010,EBITDA Sep 2010,Profit Sep 2010,Margin Sep 2010,Revenue Jun 2010,EBITDA Jun 2010,Profit Jun 2010,Margin Jun 2010,Revenue Mar 2010,EBITDA Mar 2010,Profit Mar 2010,Margin Mar 2010,Revenue Dec 2009,EBITDA Dec 2009,Profit Dec 2009,Margin Dec 2009,Revenue Sep 2009,EBITDA Sep 2009,Profit Sep 2009,Margin Sep 2009,Revenue Mar 2009,EBITDA Mar 2009,Profit Mar 2009,Margin Mar 2009,Revenue Dec 2008,EBITDA Dec 2008,Profit Dec 2008,Margin Dec 2008,Revenue Sep 2008,EBITDA Sep 2008,Profit Sep 2008,Margin Sep 2008,Revenue Jun 2008,EBITDA Jun 2008,Profit Jun 2008,Margin Jun 2008,Revenue Mar 2008,EBITDA Mar 2008,Profit Mar 2008,Margin Mar 2008,Revenue Dec 2007,EBITDA Dec 2007,Profit Dec 2007,Margin Dec 2007,Revenue Sep 2007,EBITDA Sep 2007,Profit Sep 2007,Margin Sep 2007,Revenue Jun 2007,EBITDA Jun 2007,Profit Jun 2007,Margin Jun 2007,Revenue Dec 2006,EBITDA Dec 2006,Profit Dec 2006,Margin Dec 2006,Revenue Jun 2009,EBITDA Jun 2009,Profit Jun 2009,Margin Jun 2009,Revenue Jun 2005,EBITDA Jun 2005,Profit Jun 2005,Margin Jun 2005,Revenue Mar 2007,EBITDA Mar 2007,Profit Mar 2007,Margin Mar 2007,Revenue Sep 2006,EBITDA Sep 2006,Profit Sep 2006,Margin Sep 2006,Revenue Jun 2006,EBITDA Jun 2006,Profit Jun 2006,Margin Jun 2006,Revenue Mar 2006,EBITDA Mar 2006,Profit Mar 2006,Margin Mar 2006,Revenue Dec 2005,EBITDA Dec 2005,Profit Dec 2005,Margin Dec 2005,Revenue Sep 2005,EBITDA Sep 2005,Profit Sep 2005,Margin Sep 2005
BVCL,barakvallycements,BVC,37.75,2.95,1.00,7.81,38.97,4.10,1.41,10.52,54.18,4.12,5.11,7.6,36.88,1.50,-12.39,4.07,39.74,4.58,1.60,11.52,44.90,3.55,1.16,7.91,53.33,2.52,-1.39,4.73,39.36,7.29,3.23,18.52,31.60,3.54,1.22,11.2,23.38,1.04,-0.71,4.45,43.47,2.38,1.65,5.48,37.42,2.04,-0.08,5.45,41.00,3.10,0.39,7.56,40.11,3.15,4.12,7.85,,,,,,,,,39.90,2.78,0.42,6.97,36.67,2.78,0.22,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.10,3.72,-0.69,8.44,38.89,3.71,0.86,9.54,33.85,1.07,-1.38,3.16,40.52,2.98,0.23,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARBEQUE,barbequenationhospitality,BNH,310.50,23.30,7.53,7.5,314.87,35.29,16.03,11.21,251.02,10.59,0.49,4.22,286.67,31.70,14.83,11.06,220.89,10.91,3.35,4.94,101.98,-46.72,-43.86,-45.81,226.35,16.38,6.41,7.24,194.83,9.86,-1.35,5.06,76.09,-34.36,-36.49,-45.16,9.81,-66.66,-60.45,-679.51,190.97,-30.96,-27.89,-16.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATAINDIA,bataindia,BI01,829.76,87.36,54.82,10.53,943.02,175.34,119.37,18.59,665.25,90.39,62.96,13.59,841.30,107.09,72.32,12.73,614.12,60.63,37.19,9.87,267.05,-81.58,-69.48,-30.55,589.91,50.16,29.47,8.5,615.63,52.54,26.42,8.53,367.87,-46.32,-44.32,-12.59,135.08,-158.94,-100.89,-117.66,620.57,68.23,38.41,10.99,830.82,187.31,118.27,22.55,721.96,110.47,71.30,15.3,882.76,170.29,100.97,19.29,680.24,78.36,88.67,11.52,779.79,146.60,103.06,18.8,673.07,71.32,54.86,10.6,798.00,116.75,82.41,14.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATLIBOI,batliboi,B02,66.31,3.94,2.06,5.94,51.34,-1.03,-1.07,-2.01,55.87,2.59,-1.24,4.64,58.45,3.51,1.12,6.01,43.41,-2.21,-3.74,-5.09,38.86,-0.01,-0.85,-0.03,39.37,-2.95,9.23,-7.49,38.08,1.69,0.77,4.44,,,,,38.79,-0.87,-1.53,-2.24,46.12,-8.58,-8.26,-18.6,51.04,1.50,-0.32,2.94,47.86,-4.51,-5.02,-9.42,50.25,-1.10,-2.25,-2.19,67.71,2.53,14.05,3.74,73.60,0.00,0.14,0.0,49.35,-0.19,0.25,-0.39,58.26,-1.71,-1.56,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,50.63,-0.47,-1.05,-0.93,42.63,-4.94,-6.19,-11.59,,,,,,,,,48.84,2.07,13.81,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCLIND,bclindustries,BC06,452.58,-0.77,-0.82,-0.17,376.47,26.08,17.75,6.93,506.14,34.50,22.85,6.82,564.81,31.00,24.13,5.49,462.96,27.20,20.93,5.88,450.12,22.17,16.87,4.93,430.22,22.97,13.29,5.34,399.27,16.48,10.07,4.13,326.16,16.85,11.77,5.17,275.64,12.72,7.02,4.61,224.15,8.57,3.49,3.82,266.76,10.92,8.42,4.09,211.55,12.31,7.48,5.82,215.86,10.71,6.46,4.96,247.85,12.54,6.96,5.06,242.98,16.31,11.51,6.71,202.40,22.60,17.09,11.17,202.90,11.38,5.72,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEARDSELL,beardsell,B06,59.86,2.18,1.03,3.64,55.17,2.78,1.49,5.04,56.84,2.47,1.71,4.35,47.71,1.36,0.50,2.85,47.17,1.26,0.52,2.67,34.42,0.68,0.08,1.98,47.15,2.30,0.63,4.88,37.64,2.69,1.66,7.15,31.73,2.00,0.57,6.3,15.73,-2.29,-3.27,-14.56,40.59,0.82,-0.72,2.02,38.79,1.67,1.03,4.31,39.92,1.95,0.53,4.88,41.44,1.48,-0.02,3.57,51.16,0.81,-0.85,1.58,47.07,1.63,0.07,3.46,47.83,0.74,-0.32,1.55,47.02,1.65,0.35,3.51,,,,,,,,,51.63,2.37,0.58,4.59,37.62,0.57,1.99,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECTORFOOD,mrsbectorsfoodspecialities,MBF01,347.39,30.91,22.09,8.9,300.77,18.70,12.91,6.22,252.31,13.46,10.20,5.33,263.22,21.23,15.50,8.07,246.26,23.77,18.08,9.65,226.37,18.03,13.33,7.96,223.98,18.09,12.76,8.08,225.75,28.38,20.67,12.57,228.15,26.58,22.99,11.65,202.85,23.33,15.76,11.5,194.33,15.06,9.10,7.75,203.18,17.91,11.14,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDMUTHA,bedmuthaindustries,BI05,168.24,-7.22,-1.25,-4.29,172.07,-3.76,4.51,-2.19,173.69,-5.18,3.79,-2.98,153.16,-2.02,4.11,-1.32,189.14,-4.25,3.71,-2.25,144.18,-5.26,-2.36,-3.65,118.68,-29.72,246.20,-25.04,110.20,-10.34,-18.82,-9.38,110.37,-3.60,-11.24,-3.26,49.10,-8.82,-20.22,-17.96,87.99,-6.43,-14.69,-7.31,84.00,-9.59,-19.17,-11.42,86.45,-11.30,-21.18,-13.07,102.36,-6.64,-16.07,-6.49,154.35,-5.43,-14.49,-3.52,92.19,-13.11,-23.04,-14.22,105.18,-9.27,-18.93,-8.81,139.43,-6.30,-14.07,-4.52,,,,,,,,,165.28,-2.52,-9.63,-1.52,137.52,-15.36,-22.31,-11.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEML,beml,BEM03,804.86,25.78,16.26,3.2,669.18,-71.89,-82.36,-10.74,1683.58,213.48,133.42,12.68,1133.09,57.65,78.51,5.09,1000.42,9.95,10.66,0.99,451.00,-99.11,-94.01,-21.98,1774.26,156.35,157.81,8.81,728.21,26.25,27.67,3.6,663.72,20.08,17.22,3.03,390.45,-136.33,-134.00,-34.92,1065.46,124.71,184.85,11.7,692.85,7.72,4.24,1.11,687.11,-25.36,-27.20,-3.69,580.02,-95.53,-98.21,-16.47,1366.09,236.90,162.91,17.34,920.85,59.30,46.18,6.44,734.05,26.76,16.63,3.65,453.26,-156.14,-162.56,-34.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEPAINT,bergerpaintsindia,BPI02,2670.92,301.48,219.51,11.29,2759.70,342.04,250.24,12.39,2187.51,286.69,220.29,13.11,2550.77,336.06,253.49,13.17,2225.01,298.10,219.23,13.4,1798.49,183.71,141.32,10.21,2026.09,281.38,209.68,13.89,2118.19,362.12,273.97,17.1,1742.55,281.49,222.12,16.15,930.76,41.73,19.56,4.48,1354.84,159.10,105.65,11.74,1695.87,248.00,185.88,14.62,1598.58,203.89,196.34,12.75,1716.53,258.99,176.53,15.09,1472.09,177.14,111.82,12.03,1616.70,200.50,134.81,12.4,1490.06,173.17,117.64,11.62,1483.01,192.99,134.08,13.01,,,,,,,,,1298.27,168.18,113.54,12.95,1338.63,191.41,128.02,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESTAGRO,bestagrolife,SCL11,700.31,176.74,129.81,25.24,463.70,60.14,40.13,12.97,309.35,55.50,38.16,17.94,232.49,28.96,15.48,12.46,324.39,34.33,25.19,10.58,344.56,35.20,25.94,10.22,208.13,35.84,25.28,17.22,56.72,4.48,2.74,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.21,1.60,1.85,4.08,,,,,,,,,20.04,-5.12,-4.30,-25.55,45.46,-0.88,0.76,-1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFINVEST,bfinvestment,BFI,13.68,12.70,-4.30,92.84,4.49,3.81,-7.96,84.86,2.14,-0.16,-29.07,-7.48,6.68,5.87,-6.67,87.87,5.98,4.87,-7.36,81.44,5.15,4.42,-7.64,85.83,3.78,0.59,-69.36,15.61,3.47,2.43,-10.27,70.03,5.28,3.91,-4.19,74.05,3.88,2.96,4.18,76.29,7.05,4.33,-66.72,61.42,6.30,4.06,-0.25,64.44,5.42,4.33,-1.06,79.89,3.34,2.70,-5.59,80.84,5.64,3.77,-2.08,66.84,5.35,4.01,0.62,74.95,6.06,5.40,2.97,89.11,1.10,0.46,-6.25,41.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFUTILITIE,bfutilities,BFU,160.58,96.84,55.26,60.31,194.23,126.53,81.34,65.14,178.41,74.28,38.40,41.63,141.33,88.31,46.18,62.48,113.99,65.21,17.82,57.21,79.36,37.09,-9.27,46.74,113.19,66.81,18.21,59.02,111.39,65.92,17.11,59.18,93.28,29.82,-22.42,31.97,52.64,9.42,-35.00,17.9,199.47,46.12,-25.54,23.12,108.75,55.67,8.88,51.19,112.70,66.70,17.17,59.18,114.28,75.08,26.85,65.7,110.07,57.05,-4.52,51.83,113.82,71.18,25.43,62.54,114.06,75.59,29.00,66.27,110.19,74.94,22.08,68.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGRENERGY,bgrenergysystems,BES,180.83,-69.84,-122.25,-38.62,272.60,-13.92,-88.78,-5.11,206.98,-17.34,-72.37,-8.38,250.43,-3.48,-59.70,-1.39,508.88,70.82,2.65,13.92,254.41,-12.57,-56.55,-4.94,380.84,-71.46,-122.32,-18.76,357.60,-41.71,-78.64,-11.66,273.81,-137.47,-151.17,-50.21,127.47,-37.89,-74.42,-29.72,279.38,-45.95,-4.71,-16.45,1170.89,106.23,26.54,9.07,609.72,46.31,-18.91,7.6,631.98,48.65,-12.49,7.7,974.32,121.38,31.75,12.46,840.45,78.11,8.38,9.29,796.43,73.68,4.83,9.25,661.63,21.52,-29.86,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAGERIA,bhageriaindustries,BD02,154.62,4.15,3.62,2.68,108.12,3.38,2.38,3.13,177.66,22.42,18.09,12.62,169.18,31.10,24.45,18.38,141.44,18.51,15.09,13.09,113.02,15.81,12.96,13.99,130.50,23.92,18.31,18.33,113.57,28.47,22.48,25.07,105.83,18.90,16.16,17.86,52.09,6.37,5.71,12.23,99.05,17.12,13.90,17.28,104.80,17.80,17.74,16.98,108.44,17.77,17.16,16.39,101.39,21.93,17.02,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAGCHEM,bhagiradhchemicalsindustries,BCI01,131.81,17.77,12.21,13.48,121.72,17.27,11.90,14.19,137.72,18.22,10.88,13.23,100.11,14.15,8.92,14.13,99.38,14.26,8.35,14.35,98.45,12.92,7.60,13.12,97.46,12.61,7.32,12.94,69.25,9.89,7.09,14.28,,,,,,,,,33.65,-1.12,-1.45,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAGYANGR,bhagyanagarindia,BI23,338.99,4.00,0.80,1.18,414.18,4.45,0.61,1.07,521.96,6.66,2.12,1.28,377.75,4.88,2.11,1.29,347.11,6.74,2.91,1.94,326.81,6.19,2.26,1.89,295.57,4.95,0.67,1.67,227.87,2.87,1.33,1.26,180.44,3.23,1.50,1.79,83.48,1.73,0.23,2.07,166.94,-0.24,-1.36,-0.14,159.19,3.26,0.74,2.05,108.76,3.59,0.81,3.3,127.48,3.20,0.85,2.51,150.85,4.01,1.08,2.66,145.48,4.47,1.60,3.07,143.94,3.79,1.89,2.63,128.98,3.02,1.77,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAGYAPROP,bhagyanagarproperties,BP13,2.12,1.04,0.61,49.06,5.12,4.23,3.84,82.62,2.15,0.92,1.69,42.79,2.11,1.55,1.13,73.46,2.05,1.26,1.00,61.46,1.89,0.10,0.16,5.29,1.51,0.04,1.18,2.65,1.34,0.32,0.05,23.88,2.52,1.74,1.09,69.05,1.01,0.30,-0.19,29.7,3.40,1.92,2.56,56.47,0.99,0.00,1.21,0.0,6.91,6.06,4.53,87.7,3.02,2.02,1.40,66.89,3.82,2.56,3.33,67.02,2.97,2.41,2.03,81.14,2.04,1.36,1.10,66.67,0.22,0.04,0.07,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEPL,bhansaliengineeringpolymers,BEP,358.28,50.69,41.01,14.15,337.41,57.85,47.53,17.15,445.67,98.57,73.12,22.12,341.52,95.20,75.65,27.88,374.84,161.11,123.57,42.98,231.91,98.35,77.12,42.41,473.43,217.09,163.23,45.85,411.27,181.48,136.06,44.13,307.85,43.76,35.37,14.21,99.40,-5.88,-1.25,-5.92,251.41,10.19,7.74,4.05,260.07,21.99,16.91,8.46,279.54,17.74,20.25,6.35,313.32,26.90,21.93,8.59,349.71,5.01,2.90,1.43,323.40,15.10,9.97,4.67,349.98,25.76,16.89,7.36,201.69,25.81,16.77,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,bharatelectronics,BE03,3907.35,758.83,614.83,19.42,3140.61,423.05,356.13,13.47,6339.81,1471.44,1146.50,23.21,3660.84,731.12,584.87,19.97,3678.05,764.61,610.04,20.79,1648.67,-27.42,13.05,-1.66,6769.96,1884.06,1355.73,27.83,2269.93,356.44,270.12,15.7,3168.36,530.63,395.96,16.75,1641.46,52.06,47.53,3.17,5728.57,1393.38,1038.92,24.32,2278.08,265.00,212.53,11.63,2663.57,457.50,335.19,17.18,2061.72,266.72,205.99,12.94,3783.32,854.42,590.58,22.58,2674.89,687.62,508.15,25.71,3291.53,781.46,569.80,23.74,2104.96,244.60,179.50,11.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,bharatforge,BF03,3076.39,243.88,141.81,7.93,2851.46,247.06,162.84,8.66,3573.09,340.11,242.56,9.52,2394.69,325.76,424.48,13.6,2385.62,336.25,281.19,14.09,2107.68,283.50,161.86,13.45,2082.85,265.15,236.65,12.73,1723.11,122.85,-206.71,7.13,1376.09,14.22,-1.51,1.03,1154.21,-152.64,-125.42,-13.22,1741.92,2.43,-47.18,0.14,1830.86,92.00,49.04,5.02,2155.21,200.35,212.77,9.3,2327.86,272.22,177.52,11.69,2670.78,467.42,330.99,17.5,2463.99,329.13,219.86,13.36,2597.27,381.72,254.07,14.7,2413.70,356.50,239.05,14.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.22,-1.21,32.62,-0.1,959.91,28.47,-36.56,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
