SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
A2ZINFRA,a2zinfraengineering,AME02,Dec 2019 - Mar 2020,,5.5,5.6,4.0,-0.2727272727272727
A2ZINFRA,a2zinfraengineering,AME02,Mar 2019 - Jun 2019,13-08-2019,9.9,11.0,8.5,-0.14141414141414144
AARTIDRUGS,aartidrugs,AD,Mar 2022 - Jun 2022,27-07-2022,419.3,501.4,405.7,0.19580252802289522
AARTIDRUGS,aartidrugs,AD,Jun 2021 - Sep 2021,27-10-2021,622.75,622.75,495.15,-0.20489763147330392
AARTIDRUGS,aartidrugs,AD,Sep 2019 - Dec 2019,11-02-2019,588.95,673.2,579.95,0.14305119280074707
AARTIDRUGS,aartidrugs,AD,Mar 2019 - Jun 2019,26-07-2019,487.0,491.35,437.9,-0.10082135523613968
AARTIDRUGS,aartidrugs,AD,Jun 2018 - Sep 2018,02-11-2018,569.8,619.75,546.5,0.08766233766233775
AARTIIND,aartiindustries,AI45,Dec 2021 - Mar 2022,27-05-2022,765.9,832.25,684.65,-0.10608434521478
AARTIIND,aartiindustries,AI45,Mar 2020 - Jun 2020,12-08-2020,1014.15,1176.1,970.8,0.1596903811073312
AARTIIND,aartiindustries,AI45,Dec 2019 - Mar 2020,25-05-2020,1029.65,1176.1,869.45,-0.15558684990045163
AARTISURF,aartisurfactantslimited,ASL08,Jun 2022 - Sep 2022,05-11-2022,800.5,800.5,699.0,-0.1267957526545909
AARTISURF,aartisurfactantslimited,ASL08,Jun 2021 - Sep 2021,29-10-2021,1190.5,1311.3,965.25,-0.18920621587568248
AARVEEDEN,aarveedenimexports,ADE,Mar 2019 - Jun 2019,10-08-2019,17.35,18.3,12.45,-0.28242074927953903
AARVI,aarviencon,AE19,Jun 2020 - Sep 2020,12-11-2020,36.9,54.45,36.25,0.4756097560975611
AARVI,aarviencon,AE19,Sep 2019 - Dec 2019,,24.4,24.4,20.15,-0.17418032786885246
AAVAS,aavasfinanciers,AF17,Mar 2021 - Jun 2021,29-07-2021,2575.35,2915.85,2378.0,0.13221503873259946
AAVAS,aavasfinanciers,AF17,Dec 2019 - Mar 2020,14-05-2020,970.05,1407.25,970.05,0.4506984176073399
ABAN,abanoffshore,AO04,Dec 2021 - Mar 2022,26-05-2022,47.45,56.75,39.05,0.19599578503688087
ABAN,abanoffshore,AO04,Sep 2021 - Dec 2021,08-02-2021,30.75,42.45,28.45,0.3804878048780489
ABAN,abanoffshore,AO04,Dec 2018 - Mar 2019,29-05-2019,50.05,52.55,22.4,-0.5524475524475525
ABAN,abanoffshore,AO04,Sep 2018 - Dec 2018,12-02-2018,190.15,190.15,156.6,-0.1764396529056009
ABAN,abanoffshore,AO04,Jun 2018 - Sep 2018,08-11-2018,83.0,86.2,57.45,-0.3078313253012048
ABAN,abanoffshore,AO04,Dec 2017 - Mar 2018,,112.3,118.1,88.0,-0.21638468388245768
ABMINTLLTD,abminternational,ABM02,Jun 2022 - Sep 2022,11-11-2022,68.8,70.2,66.6,-0.031976744186046555
ABMINTLLTD,abminternational,ABM02,Dec 2021 - Mar 2022,25-05-2022,88.8,94.0,72.0,-0.18918918918918917
ABSLAMC,adityabirlasunlifeamc,ABS,Mar 2022 - Jun 2022,26-07-2022,419.3,495.1,419.3,0.1807774862866683
ABSLAMC,adityabirlasunlifeamc,ABS,Dec 2021 - Mar 2022,26-04-2022,540.25,540.25,400.05,-0.2595094863489125
ACC,acc,ACC06,Jun 2021 - Sep 2021,19-10-2021,2242.75,2571.95,2115.9,0.1467840820421357
ACC,acc,ACC06,Jun 2019 - Sep 2019,15-10-2019,1498.05,1568.05,1418.85,-0.05286872934815263
ACC,acc,ACC06,Jun 2018 - Sep 2018,17-10-2018,1539.7,1543.9,1344.9,-0.126518152886926
ACCELYA,accelyakalesolutions,KAL,Jun 2021 - Sep 2021,26-10-2021,1367.25,1367.25,964.5,-0.2945693911135491
ACCELYA,accelyakalesolutions,KAL,Mar 2020 - Jun 2020,,1011.75,1053.35,811.9,-0.19752903385223625
ACCELYA,accelyakalesolutions,KAL,Dec 2019 - Mar 2020,14-05-2020,904.1,1031.5,904.1,0.14091361575047004
ACCELYA,accelyakalesolutions,KAL,Sep 2019 - Dec 2019,29-01-2020,1086.15,1086.15,848.1,-0.21916862311835386
ACCELYA,accelyakalesolutions,KAL,Dec 2018 - Mar 2019,03-05-2019,926.3,926.3,778.65,-0.15939760336823922
ACCURACY,accuracyshipping,AS26,Jun 2022 - Sep 2022,14-11-2022,200.6,200.6,177.2,-0.11665004985044869
ACE,actionconstructionequipment,ACE3,Jun 2022 - Sep 2022,09-11-2022,324.4,345.1,311.0,0.06381011097410619
