SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
ATLANTA,atlanta,A9,Jun 2020 - Sep 2020,12-11-2020,6.3,10.4,6.3,0.6507936507936509
BOMDYEING,bombaydyeingmanufacturingcompany,BDM,Jun 2020 - Sep 2020,20-10-2020,64.05,82.45,61.4,0.28727556596409065
BRFL,bombayrayonfashions,BRF,Jun 2021 - Sep 2021,06-12-2021,5.85,9.75,5.85,0.6666666666666667
FCSSOFT,fcssoftwaresolutions,FCS,Sep 2019 - Dec 2019,11-02-2019,0.25,0.25,0.2,-0.19999999999999996
INDLMETER,imppowers,IMP02,Mar 2021 - Jun 2021,14-08-2021,13.0,13.55,10.85,-0.1653846153846154
INDOCO,indocoremedies,IR05,Jun 2018 - Sep 2018,,185.45,226.7,161.15,0.22243192235103804
INOXWIND,inoxwind,IW,Sep 2017 - Dec 2017,03-02-2017,183.8,204.45,166.3,0.11235038084874852
MAHLIFE,mahindralifespacedevelopers,MLD,Dec 2021 - Mar 2022,27-04-2022,369.85,434.95,316.2,0.17601730431255905
NITESHEST,nelholdingssouth,NE07,Dec 2018 - Mar 2019,30-05-2019,2.95,3.0,1.7,-0.42372881355932207
PODDARHOUS,poddarhousingdevelopment,W13,Sep 2018 - Dec 2018,14-02-2018,1149.6,1212.95,876.6,-0.237473903966597
RSSOFTWARE,rssoftwareindia,RSS,Mar 2022 - Jun 2022,11-08-2022,30.35,31.7,26.25,-0.1350906095551895
SMPL,splendidmetalproduct,SMP01,Jun 2020 - Sep 2020,,0.25,0.45,0.15,0.8
STAR,stridespharmascience,SA10,Sep 2021 - Dec 2021,04-02-2021,887.5,922.15,743.6,-0.1621408450704225
TREEHOUSE,treehouseeducationaccessories,THE01,Dec 2019 - Mar 2020,,5.0,9.35,4.55,0.8699999999999999
TRF,trf,TRF,Sep 2021 - Dec 2021,12-02-2021,104.45,104.45,81.3,-0.22163714696026812
VISESHINFO,viseshinfotechnics,VI15,Sep 2019 - Dec 2019,14-02-2019,0.1,0.1,0.05,-0.5
IDEA,vodafoneidealimited,IC8,Jun 2020 - Sep 2020,29-10-2020,8.35,13.65,8.35,0.6347305389221558
GAL,gyscoalalloys,GA01,Sep 2020 - Dec 2020,08-02-2020,2.1,2.1,1.15,-0.45238095238095244
