SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
AARTISURF,aartisurfactantslimited,ASL08,Mar 2020 - Jun 2020,,362.4,713.05,362.4,0.9675772626931567
AAVAS,aavasfinanciers,AF17,Jun 2022 - Sep 2022,20-10-2022,2059.8,2059.8,1867.85,-0.09318865909311597
AAVAS,aavasfinanciers,AF17,Jun 2020 - Sep 2020,29-10-2020,1465.85,2021.7,1425.75,0.37919978169662666
ABCAPITAL,adityabirlacapital,ABC9,Jun 2022 - Sep 2022,07-11-2022,128.5,151.7,125.0,0.18054474708171198
ABCAPITAL,adityabirlacapital,ABC9,Jun 2021 - Sep 2021,01-11-2021,99.5,135.7,99.5,0.36381909547738683
ABCAPITAL,adityabirlacapital,ABC9,Jun 2020 - Sep 2020,05-11-2020,69.5,96.25,69.5,0.38489208633093525
ABCAPITAL,adityabirlacapital,ABC9,Dec 2018 - Mar 2019,04-05-2019,101.5,104.1,81.0,-0.2019704433497537
ABB,abbindia,ABB,Mar 2022 - Jun 2022,09-08-2022,2721.1,3403.7,2721.1,0.250854433868656
ACC,acc,ACC06,Jun 2020 - Sep 2020,19-10-2020,1562.65,1795.1,1562.65,0.14875371964291415
ACC,acc,ACC06,Sep 2018 - Dec 2018,,1371.4,1703.0,1331.7,0.24179670409800197
ACE,actionconstructionequipment,ACE3,Dec 2019 - Mar 2020,15-06-2020,55.2,72.9,52.2,0.3206521739130435
ADANIENT,adanienterprises,AE13,Jun 2018 - Sep 2018,31-10-2018,170.0,175.6,136.4,-0.19764705882352937
ADANIGREEN,adanigreenenergylimited,ADANI54145,Dec 2017 - Mar 2018,,26.8,73.3,25.2,1.7350746268656716
ATGL,adanitotalgas,ADG01,Jun 2021 - Sep 2021,28-10-2021,1408.9,1945.25,1408.9,0.3806870608275959
ADANITRANS,adanitransmission,AT22,Sep 2018 - Dec 2018,,214.0,235.2,195.25,0.09906542056074762
ADFFOODS,adffoodsindustries,AF30,Sep 2021 - Dec 2021,31-01-2022,865.2,865.2,680.9,-0.21301433194637084
ADFFOODS,adffoodsindustries,AF30,Jun 2021 - Sep 2021,29-10-2021,844.0,914.4,774.75,0.08341232227488149
ADFFOODS,adffoodsindustries,AF30,Dec 2017 - Mar 2018,,228.0,273.85,225.85,0.20109649122807027
ADORWELD,adorwelding,AW01,Dec 2021 - Mar 2022,,666.15,1011.7,647.1,0.5187270134354126
ADORWELD,adorwelding,AW01,Jun 2021 - Sep 2021,12-11-2021,805.6,805.6,639.1,-0.20667825223435948
ADVENZYMES,advancedenzymetechnologies,AET,Jun 2020 - Sep 2020,12-11-2020,322.5,370.3,308.05,0.14821705426356593
AEGISCHEM,aegislogistics,AL9,Sep 2021 - Dec 2021,,216.5,239.85,168.8,-0.22032332563510387
AEGISCHEM,aegislogistics,AL9,Dec 2018 - Mar 2019,,199.5,214.15,177.65,-0.1095238095238095
AFFLE,affleindia,AI82,Sep 2021 - Dec 2021,06-02-2021,4174.55,6004.05,4174.55,0.4382508294307171
AFFLE,affleindia,AI82,Jun 2021 - Sep 2021,10-11-2021,1084.95,1486.45,1056.9,0.3700631365500714
AFFLE,affleindia,AI82,Jun 2020 - Sep 2020,07-11-2020,2815.85,4025.8,2791.4,0.42969263277518344
AFFLE,affleindia,AI82,Mar 2020 - Jun 2020,08-08-2020,1842.2,3053.3,1842.2,0.657420475518402
AGARIND,agarwalindustrialcorporation,AIC03,Dec 2021 - Mar 2022,18-05-2022,625.35,649.05,419.15,-0.3297353482050053
AGARIND,agarwalindustrialcorporation,AIC03,Sep 2019 - Dec 2019,14-02-2019,160.85,181.75,151.1,0.12993472179048807
AGARIND,agarwalindustrialcorporation,AIC03,Sep 2018 - Dec 2018,14-02-2018,449.95,449.95,279.25,-0.37937548616512945
AHLUCONT,ahluwaliacontractsindia,ACI12,Jun 2022 - Sep 2022,14-11-2022,407.15,443.45,405.35,0.08915633059069142
AHLUCONT,ahluwaliacontractsindia,ACI12,Dec 2021 - Mar 2022,30-05-2022,442.7,472.5,380.9,-0.13959792184323472
AHLUCONT,ahluwaliacontractsindia,ACI12,Jun 2021 - Sep 2021,13-11-2021,450.4,450.4,392.35,-0.1288854351687388
AHLUCONT,ahluwaliacontractsindia,ACI12,Sep 2019 - Dec 2019,14-03-2019,340.65,366.0,304.5,-0.10612065169528836
AHLUCONT,ahluwaliacontractsindia,ACI12,Dec 2018 - Mar 2019,30-05-2019,350.7,351.8,275.5,-0.2144282862845737
AIAENG,aiaengineering,AIE01,Jun 2020 - Sep 2020,02-11-2020,1661.05,2193.5,1661.05,0.32055025435718376
AIAENG,aiaengineering,AIE01,Dec 2018 - Mar 2019,27-05-2019,1793.25,1842.1,1597.4,-0.10921511222640452
AIRAN,airan,A09,Sep 2019 - Dec 2019,,12.8,12.8,9.45,-0.2617187500000001
AIROLAM,airolam,AL08,Mar 2022 - Jun 2022,12-08-2022,67.4,122.3,67.4,0.8145400593471808
AIROLAM,airolam,AL08,Dec 2021 - Mar 2022,30-05-2022,65.25,77.05,60.65,0.1808429118773946
AJANTPHARM,ajantapharma,AP22,Jun 2021 - Sep 2021,29-10-2021,2119.6,2314.8,2039.0,0.09209284770711468
AJANTPHARM,ajantapharma,AP22,Dec 2019 - Mar 2020,,1417.15,1722.75,1350.55,0.21564407437462504
AJMERA,ajmerarealtyinfraindia,ARI03,Jun 2022 - Sep 2022,10-11-2022,241.4,334.65,241.4,0.3862883181441589
AJMERA,ajmerarealtyinfraindia,ARI03,Dec 2021 - Mar 2022,19-05-2022,293.15,293.45,216.65,-0.2609585536414804
AJMERA,ajmerarealtyinfraindia,ARI03,Jun 2020 - Sep 2020,06-11-2020,90.75,145.35,86.75,0.6016528925619834
AJMERA,ajmerarealtyinfraindia,ARI03,Jun 2019 - Sep 2019,07-11-2019,136.3,153.4,111.85,-0.1793837123991197
AJMERA,ajmerarealtyinfraindia,ARI03,Jun 2018 - Sep 2018,05-11-2018,161.2,192.1,133.3,0.19168734491315143
AKASH,akashinfraprojects,AI76,Jun 2020 - Sep 2020,05-11-2020,249.0,269.65,196.85,-0.2094377510040161
AKG,akgexim,AE20,Dec 2021 - Mar 2022,30-05-2022,33.95,50.25,28.45,0.48011782032400574
AKZOINDIA,akzonobelindia,ICI,Mar 2022 - Jun 2022,05-08-2022,1906.8,2224.35,1897.4,0.16653555695405914
ALANKIT,alankit,EGJ,Dec 2018 - Mar 2019,26-05-2019,36.65,39.75,17.35,-0.5266030013642564
ALKEM,alkemlaboratories,AL05,Jun 2020 - Sep 2020,06-11-2020,2752.75,3110.3,2655.65,0.12988829352465722
ALLSEC,allsectechnologies,ALL01,Sep 2021 - Dec 2021,25-01-2022,664.55,664.55,479.6,-0.2783086298999322
ALLSEC,allsectechnologies,ALL01,Jun 2019 - Sep 2019,23-10-2019,298.6,319.75,269.05,-0.09896182183523111
AMARAJABAT,amararajabatteries,ARB,Sep 2021 - Dec 2021,13-02-2021,987.65,987.65,766.5,-0.2239153546296765
AMARAJABAT,amararajabatteries,ARB,Jun 2021 - Sep 2021,12-11-2021,696.7,696.7,591.4,-0.15114109372757292
AMBER,amberenterprisesindialimited,AEI01,Dec 2021 - Mar 2022,13-05-2022,3379.45,3379.45,2058.8,-0.39078844190622725
AMBUJACEM,ambujacements,AC18,Jun 2020 - Sep 2020,22-10-2020,253.6,270.35,235.4,-0.07176656151419554
AMBUJACEM,ambujacements,AC18,Sep 2019 - Dec 2019,,208.55,213.6,139.35,-0.3318149124910094
AMBUJACEM,ambujacements,AC18,Dec 2017 - Mar 2018,,207.45,241.7,190.55,0.16510002410219332
AMIORG,amiorganics,AO05,Sep 2021 - Dec 2021,,943.45,1154.2,806.65,0.22338226721076898
AMJLAND,amjland,PPP,Sep 2021 - Dec 2021,06-02-2021,26.25,26.7,22.05,-0.15999999999999998
AMJLAND,amjland,PPP,Dec 2019 - Mar 2020,24-06-2020,19.6,21.55,16.85,-0.14030612244897958
ANANDRATHI,anandrathiwealth,ARW,Dec 2021 - Mar 2022,12-04-2022,612.65,699.2,612.15,0.141271525340733
ANANTRAJ,anantraj,ARI,Jun 2022 - Sep 2022,18-10-2022,105.65,118.35,99.4,0.12020823473734016
ANANTRAJ,anantraj,ARI,Dec 2021 - Mar 2022,14-05-2022,51.65,77.3,43.35,0.49661181026137463
ANANTRAJ,anantraj,ARI,Sep 2018 - Dec 2018,14-02-2018,61.8,61.8,40.75,-0.34061488673139156
ANDHRSUGAR,andhrasugars,AS18,Jun 2020 - Sep 2020,,280.35,346.3,280.35,0.23524166220795428
ANDHRSUGAR,andhrasugars,AS18,Mar 2019 - Jun 2019,,296.55,314.9,260.5,-0.12156466025965271
ANIKINDS,anikindustries,AI57,Jun 2021 - Sep 2021,13-11-2021,21.45,37.95,19.4,0.7692307692307694
ANSALAPI,ansalpropertiesinfrastructure,API07,Dec 2018 - Mar 2019,27-05-2019,8.45,9.1,3.8,-0.5502958579881657
AWHCL,antonywastehandlingcell,AWH,Mar 2022 - Jun 2022,10-08-2022,334.35,364.0,295.65,-0.1157469717362047
AWHCL,antonywastehandlingcell,AWH,Jun 2021 - Sep 2021,12-11-2021,309.5,340.0,283.3,0.09854604200323101
ANURAS,anupamrasayanindia,ARI02,Jun 2022 - Sep 2022,27-10-2022,782.1,782.1,715.6,-0.08502749009078123
APARINDS,aparindustries,AI40,Sep 2018 - Dec 2018,29-01-2019,621.65,694.6,600.2,0.11734899058956012
APLAPOLLO,aplapollotubes,BT09,Mar 2018 - Jun 2018,08-08-2018,1731.75,1776.6,1195.0,-0.30994658582358886
APOLLO,apollomicrosystems,AMS,Dec 2021 - Mar 2022,28-05-2022,117.35,144.1,112.75,0.22795057520238604
APOLLO,apollomicrosystems,AMS,Sep 2021 - Dec 2021,12-02-2021,117.55,117.55,87.75,-0.2535091450446618
APOLLO,apollomicrosystems,AMS,Jun 2021 - Sep 2021,11-11-2021,121.8,183.05,108.55,0.5028735632183909
APOLSINHOT,apollosindoorihotels,ASH,Jun 2022 - Sep 2022,11-11-2022,1407.4,1414.6,1332.25,-0.053396333664914086
APOLSINHOT,apollosindoorihotels,ASH,Jun 2018 - Sep 2018,12-11-2018,707.55,1245.15,707.55,0.7598049607801571
APOLLOTYRE,apollotyres,AT14,Mar 2018 - Jun 2018,01-08-2018,291.6,291.6,196.25,-0.3269890260631002
APTECHT,aptech,A11,Dec 2021 - Mar 2022,04-05-2022,339.2,339.2,199.7,-0.4112617924528302
APTUS,aptusvaluehousingfinanceindia,AVH,Jun 2022 - Sep 2022,08-11-2022,317.15,326.6,310.35,0.02979662620211271
ARIHANTCAP,arihantcapitalmarkets,ACM02,Sep 2021 - Dec 2021,31-01-2022,270.9,472.2,79.65,0.7430786267995572
ARIHANTCAP,arihantcapitalmarkets,ACM02,Jun 2021 - Sep 2021,,148.9,337.85,136.9,1.2689724647414373
ARIHANTSUP,arihantsuperstructures,SMC07,Jun 2022 - Sep 2022,12-11-2022,223.3,238.25,217.7,0.06695029108822206
