SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
A2ZINFRA,a2zinfraengineering,AME02,Sep 2021 - Dec 2021,13-02-2021,4.45,5.1,3.65,-0.17977528089887646
AARTIIND,aartiindustries,AI45,Sep 2018 - Dec 2018,03-02-2018,1090.45,1343.45,1053.25,0.23201430602045026
ABAN,abanoffshore,AO04,Jun 2022 - Sep 2022,09-11-2022,50.35,50.35,46.75,-0.07149950347567033
ABAN,abanoffshore,AO04,Jun 2021 - Sep 2021,01-11-2021,56.3,57.45,44.55,-0.20870337477797515
ABB,abbindia,ABB,Mar 2019 - Jun 2019,26-07-2019,1382.05,1573.35,1316.15,0.13841756810535072
ADANIPOWER,adanipower,AP11,Jun 2019 - Sep 2019,13-11-2019,63.35,64.95,59.0,-0.06866614048934493
ADANITRANS,adanitransmission,AT22,Jun 2019 - Sep 2019,07-11-2019,298.55,356.65,263.35,0.19460726846424373
ABFRL,adityabirlafashionretail,PFR,Dec 2018 - Mar 2019,15-05-2019,192.8,220.5,187.25,0.14367219917012441
ADORWELD,adorwelding,AW01,Mar 2021 - Jun 2021,05-08-2021,714.45,740.1,645.35,-0.09671775491636926
ARVINDFASN,arvindfashionslimited,ARVIN54248,Dec 2021 - Mar 2022,27-05-2022,237.2,312.25,237.2,0.3163996627318719
ARVINDFASN,arvindfashionslimited,ARVIN54248,Dec 2018 - Mar 2019,16-05-2019,839.45,846.55,498.1,-0.4066352969206028
AGSTRA,agstransacttechnologies,ATT,Jun 2022 - Sep 2022,09-11-2022,81.8,81.8,74.0,-0.09535452322738383
AIAENG,aiaengineering,AIE01,Jun 2019 - Sep 2019,,1718.0,1922.8,1602.6,0.11920838183934805
AIAENG,aiaengineering,AIE01,Sep 2018 - Dec 2018,06-02-2018,1433.75,1484.55,1347.05,-0.06047079337401921
AJANTPHARM,ajantapharma,AP22,Mar 2021 - Jun 2021,29-07-2021,2394.7,2394.7,2117.85,-0.11560947091493712
AJMERA,ajmerarealtyinfraindia,ARI03,Jun 2021 - Sep 2021,11-11-2021,348.95,480.4,260.5,0.37670153317094135
AKSHOPTFBR,akshoptifibre,AO03,Mar 2020 - Jun 2020,14-08-2020,5.55,8.3,5.1,0.49549549549549565
ALCHEM,alchemist,A12,Sep 2019 - Dec 2019,13-02-2019,1.9,2.05,1.8,0.07894736842105259
ALCHEM,alchemist,A12,Dec 2018 - Mar 2019,27-05-2019,1.8,1.85,1.0,-0.4444444444444445
