SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
AARTIIND,aartiindustries,AI45,Mar 2022 - Jun 2022,27-05-2022,765.9,832.25,684.65,-0.10608434521478
AARVI,aarviencon,AE19,Mar 2021 - Jun 2021,03-06-2021,68.65,75.4,50.6,-0.26292789512017484
AAVAS,aavasfinanciers,AF17,Sep 2019 - Dec 2019,24-01-2020,1945.15,1994.05,874.5,-0.5504202760712542
ADANIGREEN,adanigreenenergylimited,ADANI54145,Jun 2021 - Sep 2021,28-10-2021,1147.15,1966.7,1147.15,0.7144226997341236
ADANITRANS,adanitransmission,AT22,Sep 2019 - Dec 2019,07-11-2019,298.55,356.65,263.35,0.19460726846424373
ADANITRANS,adanitransmission,AT22,Jun 2018 - Sep 2018,07-08-2018,176.05,233.4,147.95,0.32575972735018455
ABFRL,adityabirlafashionretail,PFR,Jun 2019 - Sep 2019,06-08-2019,200.2,213.55,184.4,-0.07892107892107884
AEGISCHEM,aegislogistics,AL9,Jun 2018 - Sep 2018,09-08-2018,232.3,237.25,175.85,-0.24300473525613436
AFFLE,affleindia,AI82,Mar 2021 - Jun 2021,29-05-2021,5224.75,5377.9,3836.15,-0.26577348198478395
AGARIND,agarwalindustrialcorporation,AIC03,Dec 2017 - Mar 2018,14-02-2018,449.95,449.95,279.25,-0.37937548616512945
AJMERA,ajmerarealtyinfraindia,ARI03,Mar 2021 - Jun 2021,25-05-2021,145.95,343.95,139.4,1.3566289825282631
AJMERA,ajmerarealtyinfraindia,ARI03,Dec 2019 - Mar 2020,06-02-2020,130.1,130.1,54.7,-0.579554189085319
AKZOINDIA,akzonobelindia,ICI,Jun 2021 - Sep 2021,13-08-2021,2218.9,2284.35,2078.45,-0.06329712920816633
ALANKIT,alankit,EGJ,Jun 2019 - Sep 2019,14-08-2019,20.25,24.65,10.9,-0.46172839506172836
ALOKINDS,alokindustries,AI54,Dec 2020 - Mar 2021,26-04-2021,23.1,31.05,18.85,0.3441558441558441
ALPA,alpalaboratories,AL11,Sep 2021 - Dec 2021,13-11-2021,51.8,106.0,51.65,1.0463320463320465
AMARAJABAT,amararajabatteries,ARB,Dec 2020 - Mar 2021,13-02-2021,987.65,987.65,766.5,-0.2239153546296765
AMBER,amberenterprisesindialimited,AEI01,Mar 2019 - Jun 2019,24-05-2019,739.15,851.7,739.15,0.15226949874856263
