SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
AARTIDRUGS,aartidrugs,AD,Mar 2019 - Jun 2019,26-07-2019,487.0,491.35,437.9,-0.10082135523613968
AARVEEDEN,aarveedenimexports,ADE,Jun 2018 - Sep 2018,11-08-2018,33.85,33.85,23.0,-0.32053175775480064
AAVAS,aavasfinanciers,AF17,Mar 2019 - Jun 2019,03-05-2019,1303.95,1517.45,1303.95,0.16373327198128762
ABCAPITAL,adityabirlacapital,ABC9,Mar 2021 - Jun 2021,14-05-2021,121.4,128.25,113.6,-0.06425041186161459
ACC,acc,ACC06,Mar 2020 - Jun 2020,20-07-2020,1329.8,1561.15,1303.65,0.17397352985411352
ACE,actionconstructionequipment,ACE3,Dec 2018 - Mar 2019,12-02-2019,84.05,116.5,71.75,0.3860797144556812
ADANIGREEN,adanigreenenergylimited,ADANI54145,Jun 2020 - Sep 2020,11-09-2020,608.65,1205.15,588.25,0.980037788548427
ADFFOODS,adffoodsindustries,AF30,Mar 2020 - Jun 2020,11-05-2020,196.95,378.9,196.95,0.9238385376999239
AEGISCHEM,aegislogistics,AL9,Mar 2020 - Jun 2020,30-07-2020,184.2,258.15,184.2,0.40146579804560256
AEGISCHEM,aegislogistics,AL9,Dec 2017 - Mar 2018,02-02-2018,268.05,292.95,228.4,-0.14792016414847978
AGARIND,agarwalindustrialcorporation,AIC03,Jun 2022 - Sep 2022,08-08-2022,622.15,726.15,560.35,0.16716225990516756
AGARIND,agarwalindustrialcorporation,AIC03,Mar 2022 - Jun 2022,18-05-2022,625.35,649.05,419.15,-0.3297353482050053
AGARIND,agarwalindustrialcorporation,AIC03,Jun 2021 - Sep 2021,13-08-2021,337.7,399.0,288.95,0.1815220610008884
AGARIND,agarwalindustrialcorporation,AIC03,Jun 2020 - Sep 2020,26-08-2020,116.05,116.05,77.25,-0.33433864713485567
AGARIND,agarwalindustrialcorporation,AIC03,Jun 2019 - Sep 2019,14-08-2019,117.8,136.05,111.05,0.15492359932088298
AGARIND,agarwalindustrialcorporation,AIC03,Jun 2018 - Sep 2018,14-08-2018,322.75,322.75,181.6,-0.43733539891556933
AHLUCONT,ahluwaliacontractsindia,ACI12,Mar 2022 - Jun 2022,30-05-2022,442.7,472.5,380.9,-0.13959792184323472
AHLUCONT,ahluwaliacontractsindia,ACI12,Mar 2021 - Jun 2021,26-06-2021,331.5,411.75,331.5,0.2420814479638009
AIAENG,aiaengineering,AIE01,Mar 2019 - Jun 2019,27-05-2019,1793.25,1842.1,1597.4,-0.10921511222640452
AJMERA,ajmerarealtyinfraindia,ARI03,Mar 2022 - Jun 2022,19-05-2022,293.15,293.45,216.65,-0.2609585536414804
AJMERA,ajmerarealtyinfraindia,ARI03,Sep 2021 - Dec 2021,11-11-2021,348.95,480.4,260.5,0.37670153317094135
AJMERA,ajmerarealtyinfraindia,ARI03,Mar 2020 - Jun 2020,27-07-2020,76.85,97.45,74.6,0.2680546519193235
AKASH,akashinfraprojects,AI76,Jun 2022 - Sep 2022,06-08-2022,45.8,51.0,32.5,-0.29039301310043664
AKASH,akashinfraprojects,AI76,Mar 2021 - Jun 2021,30-06-2021,219.7,242.6,149.75,-0.3183887118798361
AKG,akgexim,AE20,Mar 2022 - Jun 2022,30-05-2022,33.95,50.25,28.45,0.48011782032400574
AKSHOPTFBR,akshoptifibre,AO03,Mar 2022 - Jun 2022,29-07-2022,9.6,13.7,9.15,0.4270833333333333
ALICON,aliconcastalloy,EC06,Sep 2019 - Dec 2019,28-01-2020,416.5,416.5,173.9,-0.5824729891956782
ALKYLAMINE,alkylamineschemicals,AAC,Dec 2019 - Mar 2020,06-02-2020,1443.35,1921.9,1083.9,0.3315550628745628
AMARAJABAT,amararajabatteries,ARB,Dec 2018 - Mar 2019,11-02-2019,740.45,750.6,634.9,-0.14254845026672977
AMBUJACEM,ambujacements,AC18,Mar 2020 - Jun 2020,24-07-2020,200.95,253.35,198.25,0.26076138342871363
AMJLAND,amjland,PPP,Jun 2022 - Sep 2022,04-08-2022,26.0,33.4,25.0,0.28461538461538455
AMJLAND,amjland,PPP,Mar 2022 - Jun 2022,16-05-2022,25.9,29.2,24.65,0.12741312741312744
ANANTRAJ,anantraj,ARI,Mar 2018 - Jun 2018,01-06-2018,40.65,46.45,36.45,0.14268142681426826
ANIKINDS,anikindustries,AI57,Mar 2021 - Jun 2021,30-06-2021,23.6,25.85,17.05,-0.27754237288135597
AWHCL,antonywastehandlingcell,AWH,Jun 2022 - Sep 2022,10-08-2022,334.35,364.0,295.65,-0.1157469717362047
APARINDS,aparindustries,AI40,Mar 2019 - Jun 2019,29-05-2019,671.9,671.9,469.7,-0.30093763952969194
