SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
SUVEN,suvenlifesciences,SLS01,Jun 2021 - Sep 2021,25-10-2021,98.75,104.4,85.6,-0.13316455696202537
SUVEN,suvenlifesciences,SLS01,Mar 2020 - Jun 2020,,50.65,56.45,44.5,-0.12142152023692002
TATAMOTORS,tatamotors,TM03,Mar 2020 - Jun 2020,31-07-2020,104.65,151.85,104.65,0.45102723363592917
TATAMTRDVR,tatamotorsdvr,TATAM57000,Mar 2020 - Jun 2020,31-07-2020,37.5,66.55,37.5,0.7746666666666666
TREEHOUSE,treehouseeducationaccessories,THE01,Mar 2021 - Jun 2021,12-08-2021,10.7,10.7,8.55,-0.20093457943925222
TREEHOUSE,treehouseeducationaccessories,THE01,Jun 2018 - Sep 2018,12-11-2018,5.2,5.6,3.75,-0.27884615384615385
TRF,trf,TRF,Mar 2020 - Jun 2020,,106.95,106.95,71.75,-0.3291257597007948
UFO,ufomoviezindia,UMI03,Jun 2020 - Sep 2020,12-11-2020,73.85,94.5,73.85,0.27962085308056883
UTTAMSTL,uttamgalvasteel,UGS01,Mar 2019 - Jun 2019,18-07-2019,8.4,8.95,5.8,-0.3095238095238096
UVSL,uttamvaluesteels,LSI,Mar 2020 - Jun 2020,31-07-2020,0.45,0.6,0.35,0.33333333333333326
UVSL,uttamvaluesteels,LSI,Jun 2018 - Sep 2018,13-11-2018,0.15,0.15,0.1,-0.33333333333333326
V2RETAIL,v2retail,VR02,Mar 2020 - Jun 2020,19-08-2020,54.15,60.95,45.8,-0.15420129270544786
VICEROY,viceroyhotels,VH04,Mar 2021 - Jun 2021,13-08-2021,3.0,4.4,2.65,0.4666666666666668
VICEROY,viceroyhotels,VH04,Mar 2020 - Jun 2020,29-07-2020,2.2,2.9,2.1,0.318181818181818
VIPULLTD,vipul,V04,Mar 2020 - Jun 2020,31-07-2020,13.05,15.9,12.65,0.2183908045977011
VISESHINFO,viseshinfotechnics,VI15,Mar 2022 - Jun 2022,13-08-2022,0.8,0.8,0.5,-0.37500000000000006
21STCENMGM,21stcenturymanagement,21C,Dec 2021 - Mar 2022,26-05-2022,25.2,28.6,21.15,-0.16071428571428575
GFLLIMITED,gfl,GF07,Sep 2020 - Dec 2020,14-02-2020,152.65,154.0,70.85,-0.5358663609564364
PDPL,parenteraldrugsindia,PDI01,Sep 2020 - Dec 2020,12-02-2020,3.0,3.3,2.5,-0.16666666666666666
SCHAND,schandcompanylimited,CCL,Sep 2020 - Dec 2020,13-02-2020,75.0,75.5,35.65,-0.5246666666666667
SMPL,splendidmetalproduct,SMP01,Sep 2020 - Dec 2020,14-02-2020,0.15,0.4,0.1,1.6666666666666667
VISESHINFO,viseshinfotechnics,VI15,Sep 2020 - Dec 2020,12-02-2020,0.05,0.1,0.05,1.0
