SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
AARTIIND,aartiindustries,AI45,Jun 2021 - Sep 2021,30-10-2021,964.1,1106.8,909.8,0.14801369152577526
AARTISURF,aartisurfactantslimited,ASL08,Dec 2021 - Mar 2022,02-02-2022,987.3,987.3,750.8,-0.2395421857591411
AARVI,aarviencon,AE19,Sep 2020 - Dec 2020,12-11-2020,36.9,54.45,36.25,0.4756097560975611
ABCAPITAL,adityabirlacapital,ABC9,Sep 2020 - Dec 2020,05-11-2020,69.5,96.25,69.5,0.38489208633093525
ABCAPITAL,adityabirlacapital,ABC9,Sep 2019 - Dec 2019,31-01-2020,99.2,99.2,40.05,-0.5962701612903226
ACCURACY,accuracyshipping,AS26,Dec 2020 - Mar 2021,13-02-2021,55.05,66.15,49.9,0.20163487738419636
ADANIGREEN,adanigreenenergylimited,ADANI54145,Dec 2021 - Mar 2022,02-02-2022,1916.3,2970.5,1783.95,0.5501226321557168
ADANIGREEN,adanigreenenergylimited,ADANI54145,Dec 2019 - Mar 2020,04-02-2020,198.0,213.35,117.7,-0.40555555555555556
ADANIGREEN,adanigreenenergylimited,ADANI54145,Dec 2018 - Mar 2019,07-02-2019,34.4,45.0,30.25,0.308139534883721
ADANIPORTS,adaniportsspecialeconomiczone,MPS,Jun 2019 - Sep 2019,07-08-2019,372.25,421.7,345.05,0.1328408327736736
ADANIPOWER,adanipower,AP11,Dec 2018 - Mar 2019,06-02-2019,38.05,54.6,33.95,0.43495400788436284
ADFFOODS,adffoodsindustries,AF30,Sep 2021 - Dec 2021,31-01-2022,865.2,865.2,680.9,-0.21301433194637084
ADFFOODS,adffoodsindustries,AF30,Dec 2017 - Mar 2018,13-02-2018,251.25,267.95,195.5,-0.2218905472636816
AEGISCHEM,aegislogistics,AL9,Mar 2022 - Jun 2022,27-05-2022,211.05,288.05,201.55,0.3648424543946932
AGARIND,agarwalindustrialcorporation,AIC03,Mar 2019 - Jun 2019,30-05-2019,158.6,161.15,100.75,-0.3647540983606557
AHLUCONT,ahluwaliacontractsindia,ACI12,Dec 2021 - Mar 2022,14-02-2022,372.7,531.15,361.65,0.425140863965656
AIAENG,aiaengineering,AIE01,Jun 2018 - Sep 2018,31-10-2018,1712.9,1752.0,1546.0,-0.09743709498511302
AIRAN,airan,A09,Dec 2019 - Mar 2020,13-02-2020,12.8,12.8,9.45,-0.2617187500000001
AIROLAM,airolam,AL08,Mar 2022 - Jun 2022,30-05-2022,65.25,77.05,60.65,0.1808429118773946
AJANTPHARM,ajantapharma,AP22,Sep 2020 - Dec 2020,03-11-2020,1609.05,1820.3,1523.6,0.1312886485814611
AJANTPHARM,ajantapharma,AP22,Dec 2019 - Mar 2020,05-02-2020,1197.1,1512.85,1039.2,0.26376242586250104
AKG,akgexim,AE20,Jun 2022 - Sep 2022,10-08-2022,38.45,63.15,38.45,0.6423927178153445
ALANKIT,alankit,EGJ,Dec 2018 - Mar 2019,14-02-2019,29.7,37.95,26.85,0.2777777777777779
ALKEM,alkemlaboratories,AL05,Mar 2022 - Jun 2022,13-05-2022,2905.75,3250.1,2902.75,0.11850640970489544
ALLCARGO,allcargologistics,AGL02,Dec 2019 - Mar 2020,13-02-2020,109.8,115.65,53.95,-0.5086520947176685
ALLCARGO,allcargologistics,AGL02,Jun 2019 - Sep 2019,07-08-2019,97.0,110.9,88.95,0.143298969072165
AMIORG,amiorganics,AO05,Dec 2021 - Mar 2022,07-02-2022,1005.25,1154.2,806.65,-0.19756279532454615
ARTEMISMED,artemismedicareservices,ARTEM54291,Dec 2021 - Mar 2022,01-02-2022,45.75,47.05,38.35,-0.1617486338797814
ANANTRAJ,anantraj,ARI,Dec 2017 - Mar 2018,14-02-2018,61.8,61.8,40.75,-0.34061488673139156
ANIKINDS,anikindustries,AI57,Dec 2021 - Mar 2022,12-02-2022,37.6,37.6,24.9,-0.3377659574468086
ANIKINDS,anikindustries,AI57,Jun 2021 - Sep 2021,14-08-2021,20.3,24.0,17.05,0.18226600985221672
ANIKINDS,anikindustries,AI57,Sep 2020 - Dec 2020,13-11-2020,11.7,24.55,10.95,1.0982905982905984
ANSALHSG,ansalhousing,AHC,Jun 2018 - Sep 2018,09-08-2018,15.5,16.0,9.65,-0.37741935483870964
ANSALAPI,ansalpropertiesinfrastructure,API07,Jun 2021 - Sep 2021,12-08-2021,9.2,13.7,8.65,0.48913043478260876
ANSALAPI,ansalpropertiesinfrastructure,API07,Dec 2020 - Mar 2021,11-02-2021,7.1,8.85,5.5,0.24647887323943662
AWHCL,antonywastehandlingcell,AWH,Jun 2021 - Sep 2021,11-08-2021,336.95,445.15,289.35,0.32111589256566253
APOLLOHOSP,apollohospitalsenterprises,AHE,Dec 2019 - Mar 2020,13-02-2020,1695.5,1800.7,1088.85,-0.35780005897965206
APOLLOHOSP,apollohospitalsenterprises,AHE,Dec 2018 - Mar 2019,09-02-2019,1257.85,1275.2,1116.4,-0.11245379019755919
