SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
AARTIIND,aartiindustries,AI45,Mar 2022 - Jun 2022,27-05-2022,765.9,832.25,684.65,-0.10608434521478
AARVI,aarviencon,AE19,Mar 2021 - Jun 2021,03-06-2021,68.65,75.4,50.6,-0.26292789512017484
AAVAS,aavasfinanciers,AF17,Sep 2019 - Dec 2019,24-01-2020,1945.15,1994.05,874.5,-0.5504202760712542
ADANIGREEN,adanigreenenergylimited,ADANI54145,Jun 2021 - Sep 2021,28-10-2021,1147.15,1966.7,1147.15,0.7144226997341236
ADANITRANS,adanitransmission,AT22,Sep 2019 - Dec 2019,07-11-2019,298.55,356.65,263.35,0.19460726846424373
ADANITRANS,adanitransmission,AT22,Jun 2018 - Sep 2018,07-08-2018,176.05,233.4,147.95,0.32575972735018455
ABFRL,adityabirlafashionretail,PFR,Jun 2019 - Sep 2019,06-08-2019,200.2,213.55,184.4,-0.07892107892107884
AEGISCHEM,aegislogistics,AL9,Jun 2018 - Sep 2018,09-08-2018,232.3,237.25,175.85,-0.24300473525613436
AFFLE,affleindia,AI82,Mar 2021 - Jun 2021,29-05-2021,5224.75,5377.9,3836.15,-0.26577348198478395
AGARIND,agarwalindustrialcorporation,AIC03,Dec 2017 - Mar 2018,14-02-2018,449.95,449.95,279.25,-0.37937548616512945
AJMERA,ajmerarealtyinfraindia,ARI03,Mar 2021 - Jun 2021,25-05-2021,145.95,343.95,139.4,1.3566289825282631
AJMERA,ajmerarealtyinfraindia,ARI03,Dec 2019 - Mar 2020,06-02-2020,130.1,130.1,54.7,-0.579554189085319
AKZOINDIA,akzonobelindia,ICI,Jun 2021 - Sep 2021,13-08-2021,2218.9,2284.35,2078.45,-0.06329712920816633
ALANKIT,alankit,EGJ,Jun 2019 - Sep 2019,14-08-2019,20.25,24.65,10.9,-0.46172839506172836
ALPA,alpalaboratories,AL11,Sep 2021 - Dec 2021,13-11-2021,51.8,106.0,51.65,1.0463320463320465
AMBER,amberenterprisesindialimited,AEI01,Mar 2019 - Jun 2019,24-05-2019,739.15,851.7,739.15,0.15226949874856263
ARCHIDPLY,archidplyindustries,AI,Jun 2022 - Sep 2022,09-08-2022,71.75,100.7,67.9,0.40348432055749134
ARMANFIN,armanfinancialservices,AFS04,Mar 2022 - Jun 2022,30-05-2022,1025.15,1478.9,993.55,0.44261815344095984
ARMANFIN,armanfinancialservices,AFS04,Dec 2018 - Mar 2019,09-02-2019,390.0,391.95,327.8,-0.15948717948717947
ARMANFIN,armanfinancialservices,AFS04,Dec 2017 - Mar 2018,09-02-2018,271.25,442.55,271.25,0.6315207373271889
ASHOKA,ashokabuildcon,AB,Dec 2021 - Mar 2022,12-02-2022,94.2,97.05,71.5,-0.2409766454352442
ASHOKA,ashokabuildcon,AB,Sep 2018 - Dec 2018,30-01-2019,121.85,141.2,109.1,0.15880180549856376
ASIANTILES,asiangranitoindia,AGI04,Sep 2021 - Dec 2021,12-11-2021,140.65,151.9,119.1,-0.15321720583007473
AHLEAST,asianhotelseast,AHE01,Dec 2018 - Mar 2019,13-02-2019,242.0,246.85,220.2,-0.09008264462809921
AUSOMENT,ausomenterprise,CE06,Jun 2018 - Sep 2018,25-10-2018,50.3,56.7,40.15,-0.20178926441351888
BAJAJ-AUTO,bajajauto,BA10,Mar 2019 - Jun 2019,26-07-2019,2618.65,3162.65,2463.85,0.20774062971378382
BAJAJ-AUTO,bajajauto,BA10,Mar 2018 - Jun 2018,20-07-2018,2839.6,2923.55,2525.8,-0.11050852232708823
BAJAJCON,bajajconsumercare,BC02,Mar 2022 - Jun 2022,06-05-2022,161.8,165.95,130.15,-0.19561186650185416
BAJAJELEC,bajajelectricals,BE,Jun 2018 - Sep 2018,09-08-2018,627.45,627.45,462.75,-0.2624910351422425
BAJAJFINSV,bajajfinserv,BF04,Sep 2019 - Dec 2019,29-01-2020,9894.25,9894.25,4389.8,-0.5563281704020011
BAJAJFINSV,bajajfinserv,BF04,Jun 2018 - Sep 2018,23-10-2018,5167.75,6521.95,5167.75,0.26204828019931303
BFINVEST,bfinvestment,BFI,Jun 2020 - Sep 2020,12-09-2020,299.65,313.3,257.25,-0.14149841481728678
BFINVEST,bfinvestment,BFI,Dec 2019 - Mar 2020,20-02-2020,319.55,322.2,163.1,-0.4895947426067908
BEPL,bhansaliengineeringpolymers,BEP,Dec 2021 - Mar 2022,23-04-2022,136.55,136.55,99.15,-0.273892347125595
BHARATFORG,bharatforge,BF03,Dec 2021 - Mar 2022,10-02-2022,729.9,746.1,612.65,-0.16063844362241403
BIOCON,biocon,BL03,Sep 2019 - Dec 2019,23-01-2020,294.3,357.95,252.4,0.21627590893645932
BIOCON,biocon,BL03,Sep 2018 - Dec 2018,24-01-2019,670.1,670.1,602.3,-0.10117892851813172
CAPF,capitalfirst,FCH,Mar 2017 - Jun 2017,10-05-2017,794.1,794.1,657.0,-0.17264828107291275
CGCL,capriglobalcapital,MMF05,Dec 2017 - Mar 2018,03-02-2018,112.65,112.65,78.55,-0.3027075011096317
CARBORUNIV,carborundumuniversal,CU,Jun 2018 - Sep 2018,29-10-2018,360.95,373.65,337.6,-0.06469040033245593
CENTRUM,centrumcapital,CF09,Jun 2021 - Sep 2021,13-08-2021,42.75,45.1,30.15,-0.2947368421052632
CHAMBLFERT,chambalfertiliserschemicals,CFC,Mar 2021 - Jun 2021,10-05-2021,223.6,319.8,223.6,0.430232558139535
CHOLAHLDNG,cholamandalamfinancialholdings,TII,Mar 2019 - Jun 2019,03-05-2019,515.05,520.25,454.0,-0.11853218134161723
CLEDUCATE,cleducate,CE09,Jun 2022 - Sep 2022,03-08-2022,136.5,182.15,126.1,0.33443223443223447
CLEDUCATE,cleducate,CE09,Jun 2019 - Sep 2019,05-08-2019,92.45,94.05,72.6,-0.21471065440778808
CMICABLES,cmi,CMI,Dec 2017 - Mar 2018,10-02-2018,235.5,366.45,209.85,0.5560509554140127
CUMMINSIND,cumminsindia,CI02,Mar 2022 - Jun 2022,26-05-2022,1028.25,1261.85,961.0,0.22718210551908574
DABUR,daburindia,DI,Sep 2021 - Dec 2021,02-11-2021,598.05,612.55,529.05,-0.11537496864810635
DABUR,daburindia,DI,Sep 2019 - Dec 2019,30-01-2020,478.75,519.9,396.05,-0.1727415143603133
DEN,dennetworks,DN02,Jun 2020 - Sep 2020,14-10-2020,87.1,87.1,61.95,-0.2887485648679678
DIVISLAB,divislaboratories,DL03,Dec 2021 - Mar 2022,11-02-2022,4291.25,4564.6,3936.65,-0.08263326536556945
DPSCLTD,dpsc,DPS,Dec 2019 - Mar 2020,04-02-2020,7.65,10.05,4.6,-0.3986928104575164
DUCON,duconinfratechnologies,DT9,Jun 2022 - Sep 2022,09-08-2022,15.2,16.2,12.6,-0.17105263157894735
DSSL,dynaconssystemssolutions,DSS01,Jun 2020 - Sep 2020,15-09-2020,25.3,49.95,25.3,0.974308300395257
EDELWEISS,edelweissfinancialservices,EC01,Sep 2018 - Dec 2018,24-01-2019,151.75,197.75,127.6,0.3031301482701812
EIMCOELECO,eimcoeleconindia,EEI,Jun 2020 - Sep 2020,30-10-2020,308.55,388.55,292.5,0.2592772646248582
EMAMIREAL,emamirealty,EI23,Dec 2018 - Mar 2019,12-02-2019,106.95,132.3,97.1,0.2370266479663395
EMKAY,emkayglobalfinancialservices,EGF,Jun 2021 - Sep 2021,28-10-2021,117.75,125.2,95.4,-0.1898089171974522
ENIL,entertainmentnetworkindia,ENI,Dec 2017 - Mar 2018,05-02-2018,701.9,742.25,652.55,-0.07030916084912384
EQUITAS,equitasholdings,EH03,Jun 2019 - Sep 2019,02-08-2019,113.75,117.05,94.0,-0.17362637362637362
ESTER,esterindustries,EI20,Dec 2021 - Mar 2022,03-02-2022,137.55,180.9,119.3,0.3151581243184296
EVEREADY,evereadyindustriesindia,EII02,Jun 2022 - Sep 2022,28-10-2022,295.85,366.7,292.35,0.2394794659455804
FDC,fdc,FDC,Jun 2020 - Sep 2020,07-08-2020,336.25,367.4,302.4,-0.1006691449814127
FIBERWEB,fiberwebindia,PVD,Jun 2022 - Sep 2022,12-08-2022,36.4,41.4,36.3,0.13736263736263737
FINCABLES,finolexcables,FC01,Dec 2021 - Mar 2022,09-02-2022,500.0,500.0,366.8,-0.26639999999999997
FORTIS,fortishealthcare,FH,Jun 2021 - Sep 2021,13-08-2021,236.5,294.5,236.5,0.2452431289640592
GATI,gati,G04,Jun 2018 - Sep 2018,13-08-2018,103.75,103.75,67.9,-0.3455421686746987
GAYAHWS,gayatrihighways,GAYAH54154,Jun 2022 - Sep 2022,10-08-2022,0.75,1.2,0.7,0.6
GLENMARK,glenmarkpharma,GP08,Jun 2021 - Sep 2021,13-08-2021,563.25,569.35,485.95,-0.13723923657345763
GMMPFAUDLR,gmmpfaudler,GMM01,Sep 2018 - Dec 2018,30-01-2019,1087.2,1312.55,1030.85,0.20727557027225893
GOODLUCK,goodluckindia,GLS,Mar 2019 - Jun 2019,27-05-2019,74.8,74.8,49.9,-0.33288770053475936
GOODLUCK,goodluckindia,GLS,Sep 2018 - Dec 2018,05-11-2018,72.35,78.75,63.45,-0.12301313061506554
GPTINFRA,gptinfraprojects,GPT01,Sep 2018 - Dec 2018,14-11-2018,65.2,65.2,37.05,-0.4317484662576688
GRANULES,granulesindia,GI25,Mar 2021 - Jun 2021,27-07-2021,364.75,386.85,317.4,-0.1298149417409185
GRASIM,grasimindustries,GI01,Dec 2017 - Mar 2018,14-02-2018,1126.75,1180.6,1050.9,-0.06731750610161963
GSCLCEMENT,gujaratsidheecement,GSC02,Jun 2020 - Sep 2020,04-08-2020,29.25,35.0,26.3,0.19658119658119658
GUJGASLTD,gujaratgas,GGC,Sep 2019 - Dec 2019,05-11-2019,205.15,302.25,191.15,0.47331221057762607
GPPL,gujaratpipavavport,GPP03,Sep 2018 - Dec 2018,30-01-2019,85.65,101.0,76.5,0.17921774664331575
HAPPSTMNDS,happiestmindstechnologiesltd,HMT01,Mar 2021 - Jun 2021,28-07-2021,1386.85,1503.05,1279.05,0.08378699931499445
HCG,healthcareglobalenterprises,HGE,Jun 2019 - Sep 2019,08-08-2019,106.05,132.5,97.9,0.24941065535124946
HEG,heg,HEG,Sep 2021 - Dec 2021,09-11-2021,2049.55,2252.25,1520.5,-0.25812983337805867
HGINFRA,hginfraengineeringltd,HIE,Sep 2019 - Dec 2019,27-01-2020,277.95,277.95,136.65,-0.5083648138154344
HAL,hindustanaeronauticsltd,HAL,Sep 2019 - Dec 2019,11-11-2019,766.4,874.85,716.15,0.1415057411273487
HLEGLAS,hleglascoat,SGE02,Sep 2021 - Dec 2021,13-11-2021,6403.45,6576.85,5292.4,-0.1735080308271323
HINDOILEXP,hindustanoilexplorationcompany,HOE01,Jun 2020 - Sep 2020,07-09-2020,73.85,86.65,62.25,0.173324306025728
HPL,hplelectricpower,HEP,Dec 2017 - Mar 2018,12-02-2018,150.6,150.6,113.45,-0.24667994687915
ICICIPRULI,iciciprudentiallifeinsurancecompany,IPL01,Dec 2021 - Mar 2022,16-04-2022,541.0,565.05,482.65,-0.10785582255083183
IDFC,idfc,IDF,Dec 2018 - Mar 2019,09-02-2019,37.55,46.9,35.05,0.24900133155792284
IGPL,igpetrochemicals,IGP,Dec 2021 - Mar 2022,03-02-2022,741.75,812.25,628.3,-0.15294910684192795
INDLMETER,imppowers,IMP02,Sep 2018 - Dec 2018,13-11-2018,68.95,68.95,37.3,-0.4590282813633068
IMPAL,indiamotorpartsaccessories,IMP03,Sep 2021 - Dec 2021,12-11-2021,776.25,821.3,741.95,0.058035426731078844
INDIGRID,indigridinvitfund,IIF01,Jun 2020 - Sep 2020,06-08-2020,105.2,109.76,100.11,-0.048384030418250984
INDIGRID,indigridinvitfund,IIF01,Mar 2020 - Jun 2020,27-05-2020,100.68,110.17,99.5,0.09425903853794193
