SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
A2ZINFRA,a2zinfraengineering,AME02,Sep 2021 - Dec 2021,12-11-2021,6.65,13.65,5.25,1.0526315789473684
A2ZINFRA,a2zinfraengineering,AME02,Mar 2021 - Jun 2021,21-07-2021,5.5,5.75,4.05,-0.26363636363636367
A2ZINFRA,a2zinfraengineering,AME02,Mar 2020 - Jun 2020,30-07-2020,4.1,5.5,3.55,0.3414634146341465
A2ZINFRA,a2zinfraengineering,AME02,Sep 2019 - Dec 2019,14-11-2019,9.8,9.8,5.95,-0.3928571428571429
AARTIDRUGS,aartidrugs,AD,Dec 2019 - Mar 2020,06-02-2020,628.3,764.55,461.75,-0.2650803756167435
AARTIDRUGS,aartidrugs,AD,Dec 2017 - Mar 2018,13-02-2018,624.75,656.35,504.0,-0.19327731092436976
AARTIIND,aartiindustries,AI45,Jun 2019 - Sep 2019,13-08-2019,1724.55,1737.35,748.9,-0.5657417877127366
AARVEEDEN,aarveedenimexports,ADE,Sep 2019 - Dec 2019,14-11-2019,13.05,16.25,11.2,0.2452107279693486
AARVEEDEN,aarveedenimexports,ADE,Jun 2019 - Sep 2019,10-08-2019,17.35,18.3,12.45,-0.28242074927953903
AARVEEDEN,aarveedenimexports,ADE,Sep 2018 - Dec 2018,05-11-2018,24.9,32.5,23.2,0.3052208835341366
ABCAPITAL,adityabirlacapital,ABC9,Mar 2020 - Jun 2020,05-06-2020,55.8,67.45,53.0,0.20878136200716857
ABCAPITAL,adityabirlacapital,ABC9,Mar 2019 - Jun 2019,04-05-2019,101.5,104.1,81.0,-0.2019704433497537
ABAN,abanoffshore,AO04,Mar 2021 - Jun 2021,30-07-2021,46.05,70.1,37.85,0.5222584147665581
ABAN,abanoffshore,AO04,Mar 2020 - Jun 2020,17-06-2020,22.7,33.3,22.7,0.4669603524229074
ABAN,abanoffshore,AO04,Mar 2019 - Jun 2019,29-05-2019,50.05,52.55,22.4,-0.5524475524475525
ABAN,abanoffshore,AO04,Mar 2018 - Jun 2018,30-07-2018,109.95,118.1,71.05,-0.3537971805366076
ACC,acc,ACC06,Dec 2019 - Mar 2020,21-04-2020,1136.75,1346.0,1122.2,0.18407741367934902
ACCELYA,accelyakalesolutions,KAL,Sep 2018 - Dec 2018,31-01-2019,922.4,950.15,909.6,0.030084562012142237
ACCURACY,accuracyshipping,AS26,Mar 2022 - Jun 2022,30-05-2022,291.7,291.7,196.25,-0.32721974631470685
ADANIGREEN,adanigreenenergylimited,ADANI54145,Mar 2021 - Jun 2021,05-05-2021,1064.55,1360.95,876.15,0.27842750457939985
ADANIPORTS,adaniportsspecialeconomiczone,MPS,Mar 2020 - Jun 2020,05-05-2020,263.1,360.4,263.1,0.3698213606993537
ADANITRANS,adanitransmission,AT22,Mar 2018 - Jun 2018,10-05-2018,168.65,178.3,120.4,-0.286095463978654
ADVENZYMES,advancedenzymetechnologies,AET,Mar 2019 - Jun 2019,24-05-2019,200.85,222.65,148.95,-0.25840179238237493
AEGISCHEM,aegislogistics,AL9,Jun 2021 - Sep 2021,27-10-2021,214.75,247.5,194.45,0.15250291036088476
AEGISCHEM,aegislogistics,AL9,Mar 2021 - Jun 2021,29-07-2021,320.55,320.55,208.9,-0.348307596318827
