SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
ACE,actionconstructionequipment,ACE3,Jun 2019 - Sep 2019,05-08-2019,71.75,82.8,50.6,-0.29477351916376304
ADANITRANS,adanitransmission,AT22,Mar 2020 - Jun 2020,09-05-2020,196.3,276.85,173.9,0.4103413143148243
ADVENZYMES,advancedenzymetechnologies,AET,Mar 2018 - Jun 2018,19-05-2018,226.2,239.5,201.85,-0.10764809902740935
AHLUCONT,ahluwaliacontractsindia,ACI12,Mar 2020 - Jun 2020,30-06-2020,205.7,299.85,205.7,0.4577053962080702
AIAENG,aiaengineering,AIE01,Sep 2021 - Dec 2021,27-01-2022,1868.95,1953.9,1548.7,-0.1713528986864282
ALEMBICLTD,alembic,A08,Jun 2018 - Sep 2018,30-10-2018,42.8,49.0,41.15,0.14485981308411222
APLLTD,alembicpharmaceuticals,AP35,Sep 2021 - Dec 2021,10-11-2021,795.2,841.25,732.75,-0.07853370221327972
ALKEM,alkemlaboratories,AL05,Sep 2019 - Dec 2019,11-11-2019,1972.0,2502.5,1972.0,0.26901622718052737
ALKYLAMINE,alkylamineschemicals,AAC,Jun 2019 - Sep 2019,06-08-2019,809.2,924.45,707.55,0.14242461690558575
ALLCARGO,allcargologistics,AGL02,Dec 2018 - Mar 2019,08-02-2019,101.15,120.55,98.75,0.19179436480474532
ALMONDZ,almondzglobalsecurities,AGS,Mar 2019 - Jun 2019,27-05-2019,19.45,23.9,10.0,-0.4858611825192802
ANURAS,anupamrasayanindia,ARI02,Mar 2021 - Jun 2021,12-06-2021,777.65,829.6,706.55,-0.09142930624316856
ASAHISONG,asahisongwoncolors,ASC01,Mar 2020 - Jun 2020,21-07-2020,230.3,236.0,191.4,-0.16891011723838473
AURIONPRO,aurionprosolutions,PS12,Dec 2017 - Mar 2018,13-02-2018,224.5,243.8,203.65,-0.0928730512249443
BAJFINANCE,bajajfinance,BAF,Mar 2020 - Jun 2020,21-07-2020,3292.45,3670.8,3028.9,0.11491442542787297
