SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
BRNL,bharatroadnetwork,BRN,Jun 2020 - Sep 2020,12-11-2020,29.55,37.3,29.55,0.2622673434856175
BHARTIARTL,bhartiairtel,BA08,Mar 2018 - Jun 2018,26-07-2018,357.65,390.6,285.35,-0.20215294282119378
BHEL,bharatheavyelectricals,BHE,Sep 2018 - Dec 2018,08-02-2018,95.15,97.85,81.35,-0.14503415659485036
BIOCON,biocon,BL03,Sep 2021 - Dec 2021,20-01-2022,364.2,407.25,327.45,0.11820428336079081
BIOCON,biocon,BL03,Jun 2020 - Sep 2020,22-10-2020,429.65,483.6,402.55,0.1255673222390319
BIOCON,biocon,BL03,Jun 2019 - Sep 2019,23-10-2019,258.3,300.95,241.65,0.165118079752226
BSOFT,birlasoft,KPI02,Dec 2020 - Mar 2021,,399.6,444.8,383.6,0.11311311311311308
BLKASHYAP,blkashyapsons,BLK,Dec 2021 - Mar 2022,24-05-2022,23.5,26.95,17.05,-0.27446808510638293
BLKASHYAP,blkashyapsons,BLK,Jun 2019 - Sep 2019,,10.85,10.85,8.15,-0.24884792626728106
BLISSGVS,blissgvspharma,BGV,Mar 2020 - Jun 2020,,133.05,179.0,132.05,0.34535888763622685
BLS,blsinternationalservices,BLS,Sep 2021 - Dec 2021,02-02-2021,103.75,117.0,85.45,-0.17638554216867466
BLS,blsinternationalservices,BLS,Sep 2019 - Dec 2019,12-02-2019,107.3,140.4,92.75,0.30848089468779133
BODALCHEM,bodalchemicals,BC15,Dec 2021 - Mar 2022,27-05-2022,94.0,100.05,78.65,-0.16329787234042548
BODALCHEM,bodalchemicals,BC15,Dec 2018 - Mar 2019,,99.6,99.6,66.45,-0.33283132530120474
BBTC,bombayburmahtradingcorporation,BBT,Mar 2022 - Jun 2022,13-08-2022,906.9,1008.15,862.7,0.1116440621898776
BOMDYEING,bombaydyeingmanufacturingcompany,BDM,Dec 2021 - Mar 2022,04-05-2022,118.15,120.65,88.25,-0.2530681337283115
BOSCHLTD,bosch,B05,Sep 2019 - Dec 2019,13-02-2019,17908.45,19100.3,17160.85,0.06655238169690836
BCG,brightcomgroup,LGS,Jun 2019 - Sep 2019,14-11-2019,3.25,6.85,2.95,1.1076923076923075
BROOKS,brookslaboratories,BL,Jun 2022 - Sep 2022,14-11-2022,109.3,119.4,108.1,0.09240622140896623
BSE,bselimited,B08,Sep 2019 - Dec 2019,01-02-2019,588.25,625.45,546.4,-0.07114322141946455
CTE,cambridgetechnologyenterprises,CTE,Dec 2017 - Mar 2018,28-05-2018,54.05,60.8,49.8,0.12488436632747457
CANBK,canarabank,CB06,Dec 2021 - Mar 2022,,181.25,255.3,181.25,0.4085517241379311
CAPACITE,capaciteinfraprojects,CI19,Dec 2018 - Mar 2019,13-05-2019,224.95,274.15,217.65,0.2187152700600133
CAPF,capitalfirst,FCH,Dec 2016 - Mar 2017,10-05-2017,794.1,794.1,657.0,-0.17264828107291275
CAPTRUST,capitaltrust,CT,Sep 2021 - Dec 2021,08-02-2021,90.65,143.7,71.25,0.5852178709321564
CAPLIPOINT,caplinpointlaboratories,CPL,Sep 2019 - Dec 2019,11-02-2019,350.7,429.6,324.8,0.22497861420017118
CCL,cclproductsindia,CC10,Mar 2022 - Jun 2022,,440.05,526.4,417.65,0.19622770139756837
CCL,cclproductsindia,CC10,Jun 2019 - Sep 2019,22-10-2019,227.45,227.45,182.45,-0.19784568036931194
CEATLTD,ceat,C07,Dec 2020 - Mar 2021,,1359.65,1449.95,1271.5,0.0664141507005479
CENTRALBK,centralbankindia,CBO01,Sep 2021 - Dec 2021,28-01-2022,21.6,22.0,17.65,-0.1828703703703705
CENTRUM,centrumcapital,CF09,Mar 2019 - Jun 2019,12-09-2019,25.15,25.6,19.3,-0.23260437375745519
CENTURYPLY,centuryplyboards,CP9,Jun 2022 - Sep 2022,10-11-2022,606.75,606.75,539.9,-0.1101771734651834
CGPOWER,cgpowerindustrialsolutions,CG,Dec 2020 - Mar 2021,11-06-2021,81.9,92.8,74.1,0.13308913308913298
CGPOWER,cgpowerindustrialsolutions,CG,Dec 2017 - Mar 2018,30-05-2018,76.8,76.8,50.2,-0.34635416666666663
CHALET,chalethotels,CH03,Dec 2020 - Mar 2021,18-05-2021,157.0,191.55,155.35,0.22006369426751599
CHAMBLFERT,chambalfertiliserschemicals,CFC,Mar 2019 - Jun 2019,10-08-2019,147.9,170.85,135.8,0.15517241379310337
CHEMFAB,chemfabalkalis,CA01,Dec 2021 - Mar 2022,,160.4,462.65,157.05,1.8843516209476308
CHEMFAB,chemfabalkalis,CA01,Sep 2020 - Dec 2020,29-01-2021,133.85,169.35,122.3,0.2652222637280538
CHENNPETRO,chennaipetroleumcorporation,CPC02,Jun 2020 - Sep 2020,21-10-2020,67.75,129.35,67.75,0.9092250922509224
CIGNITITEC,cignititechnologies,CI42,Sep 2020 - Dec 2020,28-01-2021,390.8,422.2,315.0,-0.19396110542476971
CIPLA,cipla,C,Jun 2021 - Sep 2021,26-10-2021,907.5,971.3,860.2,0.07030303030303026
CMICABLES,cmi,CMI,Jun 2018 - Sep 2018,14-11-2018,145.2,180.35,119.15,0.24207988980716258
COCHINSHIP,cochinshipyard,CS,Dec 2020 - Mar 2021,11-06-2021,412.55,419.05,346.15,-0.16095018785601753
COMPUSOFT,compucomsoftware,CS14,Jun 2022 - Sep 2022,10-11-2022,22.25,22.4,20.65,-0.07191011235955062
COMPUSOFT,compucomsoftware,CS14,Dec 2019 - Mar 2020,,8.95,9.0,7.0,-0.21787709497206698
CONSOFINVT,consolidatedfinvestholdings,CFH01,Mar 2020 - Jun 2020,29-07-2020,26.9,36.4,25.3,0.35315985130111527
CONTROLPR,controlprint,CP11,Dec 2018 - Mar 2019,,237.55,253.3,190.95,-0.19616922753104618
CREDITACC,creditaccessgrameen,CG03,Jun 2019 - Sep 2019,30-10-2019,644.15,848.45,638.15,0.31716215167274714
CYBERMEDIA,cybermediaindia,CMI01,Mar 2021 - Jun 2021,10-08-2021,11.9,12.05,8.8,-0.26050420168067223
DBSTOCKBRO,dbinternationalstockbrokers,DBI,Dec 2020 - Mar 2021,25-06-2021,14.35,27.8,14.1,0.9372822299651569
DBREALTY,dbrealty,DR,Sep 2020 - Dec 2020,11-02-2020,9.45,9.45,3.8,-0.5978835978835979
DBREALTY,dbrealty,DR,Mar 2020 - Jun 2020,30-07-2020,6.75,8.0,6.35,0.18518518518518517
DEEPENR,deepenergyresourceslimited,DI24,Sep 2021 - Dec 2021,12-02-2021,41.2,42.9,33.2,-0.1941747572815534
DEEPINDS,deepindustries,DI02,Jun 2021 - Sep 2021,01-11-2021,143.35,196.45,133.55,0.3704220439483781
DELTAMAGNT,deltamanufacturing,DM04,Dec 2021 - Mar 2022,27-05-2022,84.15,84.15,63.4,-0.2465834818775996
DELTACORP,deltacorp,DC11,Dec 2017 - Mar 2018,23-04-2018,284.65,284.65,204.0,-0.2833304057614614
DTIL,dhunseriteaindustries,DTI03,Jun 2021 - Sep 2021,10-11-2021,282.0,344.6,239.2,0.22198581560283695
DGCONTENT,digicontent,DGCON54268,Jun 2019 - Sep 2019,24-10-2019,5.0,6.4,3.2,-0.36
DIGISPICE,digispicetechnologies,S13,Jun 2019 - Sep 2019,08-11-2019,6.75,6.75,4.2,-0.37777777777777777
DBL,dilipbuildcon,DB04,Sep 2021 - Dec 2021,12-02-2021,523.2,703.5,523.2,0.34461009174311913
DIVISLAB,divislaboratories,DL03,Jun 2021 - Sep 2021,06-11-2021,5208.05,5208.05,3939.85,-0.24350764681598683
DLF,dlf,D04,Dec 2018 - Mar 2019,,188.55,194.6,144.45,-0.23389021479713615
DODLA,dodladairy,DD01,Dec 2021 - Mar 2022,16-05-2022,481.25,531.35,476.7,0.10410389610389616
DOLLAR,dollarindustries,DI29,Jun 2019 - Sep 2019,12-11-2019,175.8,175.8,130.85,-0.2556882821387942
DOLLAR,dollarindustries,DI29,Dec 2018 - Mar 2019,27-05-2019,248.15,270.7,187.4,-0.24481160588353817
DPSCLTD,dpsc,DPS,Dec 2021 - Mar 2022,27-05-2022,12.35,13.9,10.45,-0.15384615384615388
DPSCLTD,dpsc,DPS,Jun 2020 - Sep 2020,12-11-2020,12.25,16.35,10.7,0.33469387755102054
DQE,dqentertainmentinternational,DEI01,Jun 2018 - Sep 2018,09-11-2018,7.25,8.4,6.1,-0.15862068965517245
