SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
A2ZINFRA,a2zinfraengineering,AME02,Dec 2018 - Mar 2019,23-05-2019,17.05,18.0,9.4,-0.44868035190615835
A2ZINFRA,a2zinfraengineering,AME02,Jun 2018 - Sep 2018,13-11-2018,13.5,14.25,9.45,-0.30000000000000004
AARTIDRUGS,aartidrugs,AD,Jun 2022 - Sep 2022,20-10-2022,460.95,479.3,442.3,-0.0404599197309903
AARTIDRUGS,aartidrugs,AD,Sep 2021 - Dec 2021,31-01-2022,503.45,526.0,420.8,-0.16416724600258215
AARTIDRUGS,aartidrugs,AD,Mar 2020 - Jun 2020,25-07-2020,1586.55,3447.05,747.85,1.1726702593678109
AARTIDRUGS,aartidrugs,AD,Jun 2019 - Sep 2019,23-10-2019,491.35,628.8,491.35,0.2797394932329295
AARTIDRUGS,aartidrugs,AD,Dec 2018 - Mar 2019,,530.7,530.7,437.9,-0.1748633879781422
AARTIDRUGS,aartidrugs,AD,Sep 2018 - Dec 2018,13-02-2018,624.75,656.35,504.0,-0.19327731092436976
AARTIIND,aartiindustries,AI45,Sep 2021 - Dec 2021,,987.65,987.65,740.7,-0.25003796891611396
AARTIIND,aartiindustries,AI45,Mar 2021 - Jun 2021,,938.0,1156.55,901.0,0.23299573560767586
AARTIIND,aartiindustries,AI45,Sep 2020 - Dec 2020,12-02-2020,984.65,1138.8,679.5,-0.30990707357944447
AARTIIND,aartiindustries,AI45,Jun 2020 - Sep 2020,,1083.8,1337.2,1083.8,0.23380697545672643
AARTIIND,aartiindustries,AI45,Jun 2018 - Sep 2018,01-11-2018,1325.1,1570.05,1325.1,0.18485397328503514
AARTISURF,aartisurfactantslimited,ASL08,Mar 2022 - Jun 2022,04-08-2022,807.65,885.9,722.35,-0.1056150560267442
AARVEEDEN,aarveedenimexports,ADE,Dec 2019 - Mar 2020,,11.8,12.75,9.9,-0.1610169491525424
AARVEEDEN,aarveedenimexports,ADE,Dec 2018 - Mar 2019,23-05-2019,22.85,24.25,13.7,-0.400437636761488
AARVI,aarviencon,AE19,Mar 2022 - Jun 2022,12-08-2022,102.2,168.2,101.85,0.6457925636007826
AARVI,aarviencon,AE19,Sep 2021 - Dec 2021,11-02-2021,44.15,57.6,43.15,0.3046432616081541
AARVI,aarviencon,AE19,Jun 2021 - Sep 2021,12-11-2021,59.9,101.8,55.5,0.6994991652754591
AARVI,aarviencon,AE19,Dec 2020 - Mar 2021,03-06-2021,68.65,75.4,50.6,-0.26292789512017484
AARVI,aarviencon,AE19,Dec 2019 - Mar 2020,30-06-2020,29.9,45.1,29.7,0.508361204013378
AAVAS,aavasfinanciers,AF17,Dec 2021 - Mar 2022,,2015.45,2395.7,1940.7,0.18866754322855925
AAVAS,aavasfinanciers,AF17,Jun 2021 - Sep 2021,28-10-2021,2771.8,2927.2,2424.35,-0.12535175698102324
AAVAS,aavasfinanciers,AF17,Jun 2019 - Sep 2019,25-10-2019,1624.1,2039.9,1473.75,0.25601871805923293
AAVAS,aavasfinanciers,AF17,Sep 2018 - Dec 2018,30-01-2019,830.75,1250.2,825.2,0.504905206139031
AAVAS,aavasfinanciers,AF17,Jun 2018 - Sep 2018,26-10-2018,662.8,857.5,635.4,0.293753771876886
ABCAPITAL,adityabirlacapital,ABC9,Sep 2021 - Dec 2021,05-02-2021,90.15,134.35,88.7,0.4902939545202439
ABCAPITAL,adityabirlacapital,ABC9,Sep 2018 - Dec 2018,09-02-2018,167.8,169.75,145.55,-0.13259833134684146
BIRLAMONEY,adityabirlamoney,ABM01,Jun 2018 - Sep 2018,17-10-2018,52.3,63.95,41.25,0.22275334608030606
BIRLAMONEY,adityabirlamoney,ABM01,Dec 2017 - Mar 2018,26-04-2018,72.1,75.7,51.5,-0.28571428571428564
BIRLAMONEY,adityabirlamoney,ABM01,Sep 2017 - Dec 2017,24-01-2018,87.75,87.75,50.5,-0.42450142450142453
BIRLAMONEY,adityabirlamoney,ABM01,Jun 2017 - Sep 2017,17-10-2017,91.3,99.9,74.7,-0.18181818181818177
ABAN,abanoffshore,AO04,Mar 2022 - Jun 2022,03-08-2022,45.65,59.25,44.7,0.2979189485213582
ABAN,abanoffshore,AO04,Jun 2019 - Sep 2019,11-11-2019,30.25,30.25,23.75,-0.21487603305785125
ABSLAMC,adityabirlasunlifeamc,ABS,Jun 2022 - Sep 2022,27-10-2022,433.75,434.85,407.8,-0.059827089337175766
ABSLAMC,adityabirlasunlifeamc,ABS,Sep 2021 - Dec 2021,25-01-2022,523.95,546.8,490.45,-0.06393739860673739
ABSLAMC,adityabirlasunlifeamc,ABS,Jun 2021 - Sep 2021,25-10-2021,651.25,652.35,503.6,-0.22671785028790784
ACC,acc,ACC06,Dec 2021 - Mar 2022,19-04-2022,2056.5,2376.75,2055.1,0.15572574762946753
ACC,acc,ACC06,Dec 2020 - Mar 2021,19-04-2021,1876.75,2129.35,1812.9,0.13459437857999196
