,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,13.58%,86.42%,59.56%
1,1,16.67%,83.33%,37.4%
1,2,0.0%,0.0%,nan%
1,3,0.0%,100.0%,55.64%
1,4,13.41%,86.59%,49.78%
1,5,0.0%,100.0%,68.76%
1,6,15.0%,85.0%,34.6%
1,7,6.67%,93.33%,50.19%
1,8,0.0%,100.0%,67.49%
1,9,0.0%,100.0%,200.0%
1,10,0.0%,100.0%,44.92%
1,11,0.0%,100.0%,55.95%
1,12,5.26%,94.74%,35.55%
1,13,0.0%,100.0%,59.32%
1,14,11.3%,88.7%,38.44%
1,15,4.81%,95.19%,46.02%
