,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,54.93%,45.07%,-0.95%
1,1,55.93%,44.07%,-2.71%
1,2,66.67%,33.33%,49.36%
1,3,46.67%,53.33%,5.58%
1,4,45.12%,54.88%,4.94%
1,5,0.0%,100.0%,90.15%
1,6,46.67%,53.33%,-0.56%
1,7,46.67%,53.33%,1.17%
1,8,62.5%,37.5%,-2.3%
1,9,33.33%,66.67%,12.77%
1,10,75.0%,25.0%,-14.6%
1,11,50.0%,50.0%,0.23%
1,12,43.75%,56.25%,3.04%
1,13,0.0%,0.0%,nan%
1,14,50.0%,50.0%,-6.66%
1,15,38.01%,61.99%,10.35%
