,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,59.66%,40.34%,-8.73%
1,1,45.71%,54.29%,-1.61%
1,2,50.0%,50.0%,-3.01%
1,3,50.0%,50.0%,-2.94%
1,4,50.86%,49.14%,-7.39%
1,5,33.33%,66.67%,20.23%
1,6,50.0%,50.0%,-3.0%
1,7,47.73%,52.27%,2.92%
1,8,50.0%,50.0%,-2.63%
1,9,53.85%,46.15%,-12.9%
1,10,25.0%,75.0%,25.47%
1,11,48.86%,51.14%,1.42%
1,12,33.33%,66.67%,2.94%
1,13,100.0%,0.0%,-35.0%
1,14,56.25%,43.75%,-8.32%
1,15,52.53%,47.47%,-4.25%
