,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,0.0%,0.0%,nan%
1,1,0.0%,0.0%,nan%
1,2,0.0%,0.0%,nan%
1,3,0.0%,0.0%,nan%
1,4,0.0%,0.0%,nan%
1,5,0.0%,0.0%,nan%
1,6,0.0%,0.0%,nan%
1,7,0.0%,0.0%,nan%
1,8,0.0%,0.0%,nan%
1,9,0.0%,0.0%,nan%
1,10,0.0%,0.0%,nan%
1,11,0.0%,0.0%,nan%
1,12,0.0%,0.0%,nan%
1,13,0.0%,0.0%,nan%
1,14,0.0%,0.0%,nan%
1,15,0.0%,0.0%,nan%
