,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,57.24%,42.76%,12.83%
1,1,35.71%,64.29%,42.95%
1,2,100.0%,0.0%,-16.25%
1,3,63.64%,36.36%,12.71%
1,4,53.42%,46.58%,12.85%
1,5,57.14%,42.86%,8.57%
1,6,42.11%,57.89%,29.15%
1,7,39.39%,60.61%,20.89%
1,8,38.46%,61.54%,18.49%
1,9,66.67%,33.33%,-6.34%
1,10,25.0%,75.0%,101.95%
1,11,51.06%,48.94%,14.67%
1,12,56.67%,43.33%,15.38%
1,13,0.0%,100.0%,66.67%
1,14,45.86%,54.14%,15.43%
1,15,44.75%,55.25%,21.62%
