,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,50.38%,49.62%,6.52%
1,1,64.29%,35.71%,-2.06%
1,2,50.0%,50.0%,11.1%
1,3,28.0%,72.0%,21.1%
1,4,45.57%,54.43%,5.91%
1,5,50.0%,50.0%,5.18%
1,6,25.0%,75.0%,9.69%
1,7,61.76%,38.24%,-1.34%
1,8,49.23%,50.77%,9.67%
1,9,34.48%,65.52%,9.36%
1,10,33.33%,66.67%,18.91%
1,11,42.06%,57.94%,7.28%
1,12,46.94%,53.06%,3.68%
1,13,0.0%,0.0%,nan%
1,14,45.76%,54.24%,6.09%
1,15,39.35%,60.65%,12.55%
