,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,55.65%,44.35%,3.04%
1,1,56.0%,44.0%,9.06%
1,2,100.0%,0.0%,-38.89%
1,3,53.33%,46.67%,3.49%
1,4,55.73%,44.27%,5.42%
1,5,66.67%,33.33%,-6.57%
1,6,62.5%,37.5%,5.31%
1,7,48.65%,51.35%,22.54%
1,8,73.33%,26.67%,-3.19%
1,9,75.0%,25.0%,-13.07%
1,10,0.0%,100.0%,45.77%
1,11,60.49%,39.51%,3.79%
1,12,41.46%,58.54%,11.37%
1,13,100.0%,0.0%,-19.19%
1,14,57.39%,42.61%,4.07%
1,15,51.23%,48.77%,10.28%
