,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,50.49%,49.51%,7.61%
1,1,48.48%,51.52%,10.1%
1,2,100.0%,0.0%,-17.03%
1,3,61.54%,38.46%,29.44%
1,4,49.25%,50.75%,7.26%
1,5,50.0%,50.0%,7.05%
1,6,55.56%,44.44%,4.73%
1,7,31.25%,68.75%,18.01%
1,8,45.24%,54.76%,19.34%
1,9,41.67%,58.33%,7.78%
1,10,55.56%,44.44%,8.28%
1,11,50.42%,49.58%,10.43%
1,12,42.86%,57.14%,14.6%
1,13,100.0%,0.0%,-16.54%
1,14,40.62%,59.38%,8.59%
1,15,43.65%,56.35%,11.61%
