,Category,Decrease Percentage,Increase Percentage,Average Change(%)
1,0,79.27%,20.73%,-21.46%
1,1,80.0%,20.0%,-27.39%
1,2,100.0%,0.0%,-60.19%
1,3,88.89%,11.11%,-35.99%
1,4,82.73%,17.27%,-30.89%
1,5,61.54%,38.46%,7.25%
1,6,93.75%,6.25%,-33.96%
1,7,84.0%,16.0%,-27.61%
1,8,91.67%,8.33%,-36.75%
1,9,91.67%,8.33%,-35.67%
1,10,60.0%,40.0%,28.79%
1,11,66.04%,33.96%,-16.51%
1,12,64.29%,35.71%,-16.83%
1,13,100.0%,0.0%,-45.24%
1,14,70.64%,29.36%,-20.79%
1,15,74.79%,25.21%,-24.1%
