URL,companysector,companyname,companycode
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/tivoliconst/TC13,constructioncontractingcivil,tivoliconst,TC13
https://www.moneycontrol.com/india/stockpricequote/tmb/tamilnadmercantilebank/TMB,tmb,tamilnadmercantilebank,TMB
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/tatamotorsdvr/TATAM57000,autoancillaries,tatamotorsdvr,TATAM57000
https://www.moneycontrol.com/india/stockpricequote/engineering/tmtindia/TMT,engineering,tmtindia,TMT
https://www.moneycontrol.com/india/stockpricequote/etf/tataniftyindiadigitaletf/TNI01,etf,tataniftyindiadigitaletf,TNI01
https://www.moneycontrol.com/india/stockpricequote/printingstationery/todayswritinginstruments/TW02,printingstationery,todayswritinginstruments,TW02
https://www.moneycontrol.com/india/stockpricequote/tohealpharm/tohealpharma/TP09,tohealpharm,tohealpharma,TP09
https://www.moneycontrol.com/india/stockpricequote/financegeneral/tokyofinance/TF05,financegeneral,tokyofinance,TF05
https://www.moneycontrol.com/india/stockpricequote/plastics/tokyoplastinternational/TPI01,plastics,tokyoplastinternational,TPI01
https://www.moneycontrol.com/india/stockpricequote/shipping/tolanibulkcarriers/TBC,shipping,tolanibulkcarriers,TBC
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/tonirapharma/TP05,pharmaceuticals,tonirapharma,TP05
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/toorspinners/TS02,textilesspinningcottonblended,toorspinners,TS02
https://www.moneycontrol.com/india/stockpricequote/leatherproducts/toplineshoes/TLS,leatherproducts,toplineshoes,TLS
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/toptelemedia/TT10,financeinvestments,toptelemedia,TT10
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/torrentcables/TC18,powertransmissionequipment,torrentcables,TC18
https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/torrentcablesd/TCD,cablespowerothers,torrentcablesd,TCD
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,pharmaceuticals,torrentpharmaceuticals,TP06
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,powergenerationdistribution,torrentpower,TP14
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpoweraec/TPA,powergenerationdistribution,torrentpoweraec,TPA
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpowersec/TPS,powergenerationdistribution,torrentpowersec,TPS
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/toshainternational/TI11,miscellaneous,toshainternational,TI11
https://www.moneycontrol.com/india/stockpricequote/computershardware/totalexports/TEL02,computershardware,totalexports,TEL02
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/totaltransportsystems/TTS01,transportlogistics,totaltransportsystems,TTS01
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/touchwoodentertainmentltd/TEL,mediaentertainment,touchwoodentertainmentltd,TEL
https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/tourismfinancecorpindia/TFC,financetermlendinginstitutions,tourismfinancecorpindia,TFC
https://www.moneycontrol.com/india/stockpricequote/textilesterrytowels/towelsindiaexports/TIE01,textilesterrytowels,towelsindiaexports,TIE01
https://www.moneycontrol.com/india/stockpricequote/financegeneral/toyamsports/OAR,financegeneral,toyamsports,OAR
https://www.moneycontrol.com/india/stockpricequote/electricequipment/toyamaelectric/TE04,electricequipment,toyamaelectric,TE04
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/thephosphatecompanylimited/PHOSP54212,miscellaneous,thephosphatecompanylimited,PHOSP54212
https://www.moneycontrol.com/india/stockpricequote/packaging/tpiindia/TPI,packaging,tpiindia,TPI
https://www.moneycontrol.com/india/stockpricequote/plastics/tplplastech/TPL02,plastics,tplplastech,TPL02
https://www.moneycontrol.com/india/stockpricequote/castingsforgings/trackpartsindia/TI13,castingsforgings,trackpartsindia,TI13
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tracxntechnologies/TT19,miscellaneous,tracxntechnologies,TT19
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tradewings/TW01,miscellaneous,tradewings,TW01
